"公園番号","公園名","住所","管内","No","開設","改修","種別","面積","構造","兼用個室","兼用和式","兼用手洗い","男子小便器","男子個室","男子洋式","男子和式","男子手洗い","女子個室","女子洋式","女子和式","女子手洗い","誰でも個室","誰でも手洗い","オストメイト","ベビーチェア","ベビーベッド","男子小便器(1)","幼児用小便器","経度","緯度","分類"
"2","関根文化公園","東京都杉並区上荻4- 2-10","北","A-1","S35.12.1","H8.1.24","公園","5.55","鉄骨鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.605295842929","35.7087268849686","公園・公衆トイレ"
"3","西永福公園","東京都杉並区永福3-40- 6","南","A-2","S32.4.1","S55.3.31","公園","3.3","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.637044695412","35.6775742824103","公園・公衆トイレ"
"4","和田堀公園","東京都杉並区松ノ木1- 3-24","南","A-3","S27.4.1","S55.3.31","公園","3.3","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.64237471196","35.6854253409234","公園・公衆トイレ"
"5","方南公園","東京都杉並区方南2-28-24","南","A-4","H28.1.15","","公園","7.12","鉄骨","","","","","","","","","","","","","1","1","1","1","","1","","139.658251952968","35.6861942302281","公園・公衆トイレ"
"6","和田公衆便所","東京都杉並区和田2- 1-11","南","E-9","S42.4.1","S63.3.31","公衆","25","鉄筋","","","","2","1","","1","1","2","","2","1","","","","","","","","139.661314885082","35.6873598074979","公園・公衆トイレ"
"7","妙正寺公衆便所","東京都杉並区清水3-21-21","北","E-15","H8.2.16","","公衆","27.28","鉄筋","","","","2","1","","1","1","2","","2","2","1","1","","","","","","139.618887239617","35.7169758692443","公園・公衆トイレ"
"7","妙正寺公園","東京都杉並区清水3-21-21","北","A-5","S44.3.31","S50.3.31","公園","3.32","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.618414937904","35.7174706222922","公園・公衆トイレ"
"8","高円寺北公衆便所","東京都杉並区高円寺北3-20-15","北","E-14","S46.3.31","H4.3.31","公衆","23.68","鉄筋","","","","3","1","","1","1","2","","2","2","1","1","","","","","","139.648978934888","35.7073403799768","公園・公衆トイレ"
"9","大宮児童公園","東京都杉並区大宮2- 4-10","南","A-6","S40.3.30","S61.12.19","公園","5.46","鉄筋","1","1","","1","","","","","","","","","","","","","","","","139.639379507747","35.6817979924948","公園・公衆トイレ"
"10","高円寺中央公衆便所","東京都杉並区高円寺南4-31- 7","北","E-16","H7.2.7","","公衆","21.12","鉄筋","","","","2","1","","1","1","1","","1","1","1","1","","","","","","139.651737406228","35.7036920467804","公園・公衆トイレ"
"11","梅里公園","東京都杉並区梅里1- 1-55","南","A-7","","","公園","12.96","ﾌﾟﾚ","","","","2","1","","1","1","2","","2","1","1","1","","","","","","139.653998146364","35.6956552782968","公園・公衆トイレ"
"11","堀ノ内公衆便所","東京都杉並区梅里1- 1-55","南","E-7","S41.3.31","H11.1.19","公衆","30.52","鉄骨鉄筋","","","","2","1","","1","1","1","","1","1","2","2","","","","","","139.654064563022","35.6948639061744","公園・公衆トイレ"
"12","三谷公園","東京都杉並区上井草3-12-10","北","A-8","S43.3.31","S62.3.2","公園","7.29","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.599854124434","35.7193903215128","公園・公衆トイレ"
"13","高円寺東公園","東京都杉並区高円寺南5-11- 7","北","A-9","H15.3.14","","公園","7.92","鉄筋","","","","1","1","","1","1","1","","1","1","","","","","","","","139.658487556662","35.7022095518738","公園・公衆トイレ"
"14","済美公園","東京都杉並区堀ノ内1-27-40","南","A-10","S44.3.31","S63.3.31","公園","12.96","ﾌﾞﾛｯｸ","","","","2","1","","1","1","1","","1","1","1","1","1","1","","","","139.649090362049","35.6880695340975","公園・公衆トイレ"
"15","玉川上水公園","東京都杉並区和泉2- 7- 9","南","A-11","H9.1.21","","公園","9.9","鉄骨","","","","2","1","","1","1","1","","1","1","","","","","","","","139.652142480824","35.6712505042699","公園・公衆トイレ"
"17","桃園川緑道","東京都杉並区高円寺南1-34-10","北","A-12","S55.3.31","H4.3.31","公園","13","鉄骨鉄筋","","","","2","1","","","1","","","","","1","1","","","","1","","139.648845733625","35.7028912173967","公園・公衆トイレ"
