都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
222038,1111300000,静岡県,沼津市,愛鷹地区センター,アシタカチクセンター,,,沼津市東原358-1,,35.129581,138.82309,,,8.00002E+12,沼津市,,,,,,,,
222038,1110100000,静岡県,沼津市,大岡地区センター,オオオカチクセンター,,,沼津市大岡2357-1,,35.117085,138.87413,,,8.00002E+12,沼津市,,,,,,,,
222038,1110200000,静岡県,沼津市,大平地区センター,オオヒラチクセンター,,,沼津市大平2197-1,,35.07565,138.910682,,,8.00002E+12,沼津市,,,,,,,,
222038,1110300000,静岡県,沼津市,西浦地区センター,ニシウラチクセンター,,,沼津市西浦立保22-1,,35.016525,138.853134,,,8.00002E+12,沼津市,,,,,,,,
222038,1110400000,静岡県,沼津市,浮島地区センター,ウキシマチクセンター,,,沼津市平沼375-1,,35.1439907,138.7839336,,,8.00002E+12,沼津市,,,,,,,,
222038,1110500000,静岡県,沼津市,第一地区センター,ダイイチチクセンター,,,沼津市八幡町65－1,,35.098792,138.854377,,,8.00002E+12,沼津市,,,,,,,,
222038,1110600000,静岡県,沼津市,原地区センター,ハラチクセンター,,,沼津市原1200-3,,35.128502,138.793274,,,8.00002E+12,沼津市,,,,,,,,
222038,1110700000,静岡県,沼津市,第四地区センター,ダイヨンチクセンター,,,沼津市吉田町20-1,,35.100742,138.849411,,,8.00002E+12,沼津市,,,,,,,,
222038,1110800000,静岡県,沼津市,静浦地区センター,シズウラチクセンター,,,沼津市獅子浜17,,35.051846,138.88681,,,8.00002E+12,沼津市,,,,,,,,
222038,1110900000,静岡県,沼津市,金岡地区センター,カナオカチクセンター,,,沼津市江原町3－1,,35.118943,138.860364,,,8.00002E+12,沼津市,,,,,,,,
222038,1111000000,静岡県,沼津市,第五地区センター,ダイゴチクセンター,,,沼津市五月町15-1,,35.112938,138.863586,,,8.00002E+12,沼津市,,,,,,,,
222038,1111100000,静岡県,沼津市,片浜地区センター,カタハマチクセンター,,,沼津市大諏訪46-１,,35.110834,138.828692,,,8.00002E+12,沼津市,,,,,,,,
222038,1111200000,静岡県,沼津市,第三地区センター,ダイサンチクセンター,,,沼津市下香貫字楊原750-4,,35.088024,138.884354,,,8.00002E+12,沼津市,,,,,,,,
222038,1111400000,静岡県,沼津市,門池地区センター,カドイケチクセンター,,,沼津市岡一色字門池788-7,,35.12529,138.881058,,,8.00002E+12,沼津市,,,,,,,,
222038,1111500000,静岡県,沼津市,今沢地区センター,イマザワチクセンター,,,沼津市今沢527-21,,35.118618,138.816208,,,8.00002E+12,沼津市,,,,,,,,
222038,1111600000,静岡県,沼津市,内浦地区センター,ウチウラチクセンター,,,沼津市内浦三津410-1,,35.028088,138.902435,,,8.00002E+12,沼津市,,,,,,,,
222038,1111700000,静岡県,沼津市,戸田地区センター,ヘダチクセンター,,,沼津市戸田1294-3,,34.964238,138.800669,,,8.00002E+12,沼津市,,,,,,,,
222038,1111800000,静岡県,沼津市,今沢集会所,イマザワシュウカイジョ,,,沼津市今沢213-1,,35.097733,138.872223,,,8.00002E+12,沼津市,,,,,,,,
222038,1111900000,静岡県,沼津市,三本松集会所,サンボンマツシュウカイジョ,,,沼津市大塚519,,35.120754,138.802216,,,8.00002E+12,沼津市,,,,,,,,
222038,1112000000,静岡県,沼津市,松長集会所,マツナガシュウカイジョ,,,沼津市松長207-3,,35.106586,138.840022,,,8.00002E+12,沼津市,,,,,,,,
222038,1112100000,静岡県,沼津市,舟山集会所,フナヤマシュウカイジョ,,,沼津市戸田2560-2,,34.964218,138.800659,,,8.00002E+12,沼津市,,,,,,,,
222038,1112200000,静岡県,沼津市,新田集会所,ニッタシュウカイジョ,,,沼津市戸田2311-1,,34.964218,138.800659,,,8.00002E+12,沼津市,,,,,,,,
222038,1112300000,静岡県,沼津市,大上集会所,オオガミシュウカイジョ,,,沼津市戸田1902,,34.964218,138.800659,,,8.00002E+12,沼津市,,,,,,,,
222038,1112400000,静岡県,沼津市,井田集会所兼特産物加工施設,イタシュウカイジョケントクサンブツカコウシセツ,,,沼津市井田171,,35.002037,138.789536,,,8.00002E+12,沼津市,,,,,,,,
222038,1112500000,静岡県,沼津市,沼津市我入道コミュニティ防災センター,ヌマヅシガニュウドウコミュニティボウサイセンター,,,沼津市我入道字東町175-1,,35.079197,138.861694,,,8.00002E+12,沼津市,,,,,,,,
222038,1210100000,静岡県,沼津市,第一小学校,ダイイチショウガッコウ,,,沼津市八幡町65－1,,35.098766,138.854385,,,8.00002E+12,沼津市,,,,,,,,
