都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,介護サービス事業所名称,介護サービス事業所名称_カナ,実施サービス,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,備考
222038,,静岡県,沼津市,あしたか包括介護予防支援事業所,アシタカホウカツカイゴヨボウシエンジギョウショ,介護予防支援事業所,沼津市東椎路1742-1,,,,055-967-2988,,055-967-2966,,社会福祉法人春風会,2201100027,月～土,12/31～1/3を除く。,,,
222038,,静岡県,沼津市,きせがわ包括介護予防支援事業所,キセガワホウカツカイゴヨボウシエンジギョウショ,介護予防支援事業所,沼津市大岡1155,,,,055-954-0003,,055-954-0006,,医療法人社団　真養会,2201100035,月～土,祝日及び１２／３０～１／３を除く,,,
222038,,静岡県,沼津市,千本包括介護予防支援事業所,センボンホウカツカイゴヨボウシエンジギョウショ,介護予防支援事業所,沼津市本字千本1910-206,,,,055-962-5932,,055-962-5348,,社会福祉法人　沼津市社会福祉協議会,2201100050,月～土,１２／２９～１／３を除く,,,
222038,,静岡県,沼津市,かぬき包括介護予防支援事業所,カヌキホウカツカイゴヨボウシエンジギョウショ,介護予防支援事業所,沼津市下香貫猪沼981-2,,,,055-933-3671,,055-934-7322,,社会福祉法人　信愛会,2201100068,月～金,祝日及び１２／３０～１／３は除く,,,
222038,,静岡県,沼津市,三浦・戸田包括介護予防支援事業所,サンウラ・ヘダホウカツカイゴヨボウシエンジギョウショ,介護予防支援事業所,沼津市内浦重須627-7,,,,055-919-5571,,055-919-3949,,社会福祉法人　三保会,2201100076,月～土,１２／２９－１／３を除く,,,
222038,,静岡県,沼津市,戸田包括介護予防支援事業所,ヘダホウカツカイゴヨボウシエンジギョウショ,介護予防支援事業所,沼津市戸田916-2,,,,0558-94-5550,,0558-97-5001,,社会福祉法人　信愛会,2201100084,月～金,12月30日～１月３日を除く,,,
222038,,静岡県,沼津市,片浜・今沢包括介護予防支援事業所,カタハマ・イマザワホウカツカイゴヨボウシエンジギョウショ,介護予防支援事業所,沼津市松長12-3,,,,055-969-7050,,055-968-2177,,社会福祉法人春風会,2201100092,月～土,１２/３１～１/３を除く,,,
222038,,静岡県,沼津市,かどいけ包括介護予防支援事業所,カドイケホウカツカイゴヨボウシエンジギョウショ,介護予防支援事業所,沼津市岡宮1147-8,,,,055-926-8500,,055-926-8509,,社会福祉法人　駿河厚生会,2201100100,月～土,国民の祝日及び１２／３０～１／３を除く,,,
222038,,静岡県,沼津市,第五包括介護予防支援事業所,ダイゴホウカツカイゴヨボウシエンジギョウショ,介護予防支援事業所,沼津市新宿町19-1,　パスコグランドマンション新沼津1階,,,055-939-8022,,055-939-8021,,医療法人社団　真養会,2201100118,月～金,祝日、１２／２９～１／３を除く,,,
222038,,静岡県,沼津市,第三・第四包括介護予防支援事業所,ダイサン・ダイヨンホウカツカイゴヨボウシエンジギョウショ,介護予防支援事業所,沼津市西島町19-1,,,,055-941-6605,,055-941-6658,,社会福祉法人　信愛会,2201100126,月～金,１２／３０～１／３を除く,,,
222038,,静岡県,沼津市,かなおか包括介護予防支援事業所,カナオカホウカツカイゴヨボウシエンジギョウショ,介護予防支援事業所,沼津市西沢田431-11,,,,055-921-2022,,055-924-2189,,社会福祉法人　炉暖会,2201100134,月～金,祝日、１２／２９～１／３を除く,,,
222038,,静岡県,沼津市,タカネ園,タカネエン,通所リハビリテーション,沼津市鳥谷６１１－１,,,,055-967-8800,,055-967-3600,,医療法人社団愛康会,2251180010,月～金,,50,,
222038,,静岡県,沼津市,はら包括介護予防支援事業所,ハラホウカツカイゴヨボウシエンジギョウショ,介護予防支援事業所,沼津市原1200-3,,,,055-969-4055,,055-969-4056,,社会福祉法人春風会,2201100019,月～土,１２／２９～１／３を除く,,,
222038,,静岡県,沼津市,金岡医院,カナオカイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市江原町１５－３８,,,,0559-21-1147,,0559-21-2495,,森田　清司,2211101577,-,,,,
222038,,静岡県,沼津市,岩波医院,イワナミイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市下香貫善太夫３１２５,,,,0559-31-5082,,,,岩波　弥,2211101718,-,,,,
222038,,静岡県,沼津市,寺田医院,テラダイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市上香貫三貫地１１７３－５,,,,0559-31-3181,,0559-32-4148,,寺田　鼎,2211101908,-,,,,
222038,,静岡県,沼津市,新藤医院,シンドウイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市原３３１－１５,,,,0559-66-0278,,,,新藤　正隆,2211101957,-,,,,
222038,,静岡県,沼津市,桜井医院,サクライイイン,居宅療養管理指導、通所リハビリテーション、訪問リハビリテーション、訪問看護,沼津市沼北町１－５－１７,,,,0559-21-1007,,,,桜井　克己,2211102112,-,,,,
