都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,介護サービス事業所名称,介護サービス事業所名称_カナ,実施サービス,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,備考
222038,0000000001,静岡県,沼津市,沼津市基幹型地域包括支援センター,ヌマヅシキカンガタチイキホウカツシエンセンター,市内地域包括支援センターの総合調整および後方支援,沼津市御幸町16-1,沼津市役所　長寿福祉課内,35.095626,138.863404,055-934-4865,,055-935-0335,8000020222038,沼津市,,月火水木金,祝日、12月29日～1月3日を除く,,,市内地域包括支援センターの全体調整および後方支援
222038,0000000002,静岡県,沼津市,はら地域包括支援センター,ハラチイキホウカツシエンセンター,総合相談;介護予防ケアマネジメント;包括的・継続的ケアマネジメント;権利擁護,沼津市原1200-3,原高齢者福祉センター内,35.12937,138.793504,055-969-4055,,055-968-4511,2260005002567,社会福祉法人春風会,2201100019,月火水木金土,12月31日～1月3日を除く,,,担当地区　浮島、原
222038,0000000003,静岡県,沼津市,あしたか地域包括支援センター,アシタカチイキホウカツシエンセンター,総合相談;介護予防ケアマネジメント;包括的・継続的ケアマネジメント;権利擁護,沼津市東椎路1742-1,あしたかホーム内,35.127347,138.831383,055-967-2988,,055-967-2966,2260005002567,社会福祉法人春風会,2201100027,月火水木金土,12月31日～1月3日を除く,,,担当地区　愛鷹
222038,0000000004,静岡県,沼津市,片浜・今沢地域包括支援センター,カタハマイマザワチイキホウカツシエンセンター,総合相談;介護予防ケアマネジメント;包括的・継続的ケアマネジメント;権利擁護,沼津市松長12-3,西友松長店内,35.115442,138.818101,055-969-7050,,055-968-2177,2260005002567,社会福祉法人春風会,2201100092,月火水木金土,12月31日～1月3日を除く,,,担当地区　片浜の一部、今沢
222038,0000000005,静岡県,沼津市,かなおか地域包括支援センター,カナオカチイキホウカツシエンセンター,総合相談;介護予防ケアマネジメント;包括的・継続的ケアマネジメント;権利擁護,沼津市西沢田431-11,,35.121311,138.845127,055-921-2022,,055-924-2189,6080102003202,有限会社べっく,2201100043,月火水木金,祝日、12月29日～1月3日を除く,,,担当地区　金岡
222038,0000000006,静岡県,沼津市,かどいけ地域包括支援センター,カドイケチイキホウカツシエンセンター,総合相談;介護予防ケアマネジメント;包括的・継続的ケアマネジメント;権利擁護,沼津市岡宮1147-8,,35.130096,138.872283,055-939-6700,,055-939-6710,7080105000146,社会福祉法人駿河厚生会,2201100100,月火水木金土,祝日、12月30日～1月3日を除く,,,担当地区　門池
222038,0000000007,静岡県,沼津市,きせがわ地域包括支援センター,キセガワチイキホウカツシエンセンター,総合相談;介護予防ケアマネジメント;包括的・継続的ケアマネジメント;権利擁護,沼津市大岡1155,きせがわ病院前,35.104156,138.881036,055-954-0755,,055-954-0006,9080105000152,医療法人社団真養会,2201100035,月火水木金土,祝日、12月29日～1月3日を除く,,,担当地区　大岡
222038,0000000008,静岡県,沼津市,千本地域包括支援センター,センボンチイキホウカツシエンセンター,総合相談;介護予防ケアマネジメント;包括的・継続的ケアマネジメント;権利擁護,沼津市本字千本1910-206,千本プラザ内,35.092834,138.850013,055-962-5932,,055-962-5348,7080105000138,社会福祉法人沼津市社会福祉協議会,2201100050,月火水木金土,祝日、12月29日～1月3日を除く,,,担当地区　第一、第二、片浜の一部
222038,0000000009,静岡県,沼津市,第五地域包括支援センター,ダイゴチイキホウカツシエンセンター,総合相談;介護予防ケアマネジメント;包括的・継続的ケアマネジメント;権利擁護,沼津市新宿町19-1,パスコグランドマンション新沼津,35.108053,138.86067,055-939-8022,,055-939-8021,9080105000152,医療法人社団真養会,2201100118,月火水木金,祝日、12月29日～1月3日を除く,,,担当地区　第五
222038,0000000010,静岡県,沼津市,かぬき地域包括支援センター,カヌキチイキホウカツシエンセンター,総合相談;介護予防ケアマネジメント;包括的・継続的ケアマネジメント;権利擁護,沼津市下香貫猪沼981-2,ぬまづホーム内,35.082569,138.885444,055-933-3671,,055-934-7322,5080105000123,社会福祉法人信愛会,2201100068,月火水木金,12月30日～1月3日を除く,,,担当地区　香貫、大平、第三の一部
222038,0000000011,静岡県,沼津市,第三・第四地域包括支援センター,ダイサンダイヨンチイキホウカツシエンセンター,総合相談;介護予防ケアマネジメント;包括的・継続的ケアマネジメント;権利擁護,沼津市西島町19-1,,35.084841,138.864529,055-941-6605,,055-941-6658,5080105000123,社会福祉法人信愛会,2201100126,月火水木金,12月30日～1月3日を除く,,,担当地区　第三の一部、第四
222038,0000000012,静岡県,沼津市,三浦・戸田地域包括支援センター,サンウラヘダチイキホウカツシエンセンター,総合相談;介護予防ケアマネジメント;包括的・継続的ケアマネジメント;権利擁護,沼津市内浦重須627-7,,35.01827,138.883806,055-919-5571,,055-919-3949,6080105000147,社会福祉法人三保会,2201100076,月火水木金土,12月29日～1月3日を除く,,,担当地区　静浦、内浦、西浦、戸田
222038,0000000013,静岡県,沼津市,三浦・戸田地域包括支援センター戸田出張所,サンウラヘダチイキホウカツシエンセンターヘダシュッチョウジョ,総合相談;介護予防ケアマネジメント;包括的・継続的ケアマネジメント;権利擁護,沼津市戸田916-2,沼津市保健センター戸田分館2階,34.973675,138.780783,055-919-5571,,0558-94-3270,6080105000147,社会福祉法人三保会,2201100076,月火水木金土,12月29日～1月3日を除く,,,担当地区　戸田
