都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
222038,1,静岡県,沼津市,西浦保育所,ニシウラホイクショ,認定公立保育所,静岡県沼津市西浦平沢200-29,,35.0198679,138.8570877,,,055-942-2059,,055-946-2066,8000020222038,沼津市,,60,4か月から,月火水木金土,7:30,18:30,休園日：12月29日～1月3日、日曜日、祝日,,https://www.city.numazu.shizuoka.jp/kurashi/kyoiku/kosodate/azukeru/nishiura.htm,
222038,2,静岡県,沼津市,北部保育所,ホクブホイクショ,認定公立保育所,静岡県沼津市高沢町13-28,,35.1075092,138.8555255,,,055-921-7537,,055-929-6288,8000020222038,沼津市,,150,4か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：あり　,,https://www.city.numazu.shizuoka.jp/kurashi/kyoiku/kosodate/azukeru/hokubu.htm,
222038,3,静岡県,沼津市,大平保育所,オオヒラホイクショ,認定公立保育所,静岡県沼津市大平1677,,35.0739174,138.9097866,,,055-931-1218,,055-935-4310,8000020222038,沼津市,,60,4か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日,,https://www.city.numazu.shizuoka.jp/kurashi/kyoiku/kosodate/azukeru/oohira.htm,
222038,4,静岡県,沼津市,金岡保育所,カナオカホイクショ,認定公立保育所,静岡県沼津市沼北町1-5-15,,35.1135485,138.8542572,,,055-923-0383,,055-929-6277,8000020222038,沼津市,,160,2か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：あり　,,https://www.city.numazu.shizuoka.jp/kurashi/kyoiku/kosodate/azukeru/kanaoka.htm,
222038,5,静岡県,沼津市,大岡保育所,オオオカホイクショ,認定公立保育所,静岡県沼津市大岡1901-1,,35.113359,138.8692062,,,055-924-0170,,055-929-6771,8000020222038,沼津市,,120,4か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：あり　,,https://www.city.numazu.shizuoka.jp/kurashi/kyoiku/kosodate/azukeru/oooka.htm,
222038,6,静岡県,沼津市,ときわ保育所,トキワホイクショ,認定公立保育所,静岡県沼津市本字千本1906-4,,35.0852999,138.8527238,,,055-963-4694,,055-964-0755,8000020222038,沼津市,,90,4か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：あり　,,https://www.city.numazu.shizuoka.jp/kurashi/kyoiku/kosodate/azukeru/tokiwa.htm,
222038,7,静岡県,沼津市,戸田保育所,ヘダホイクショ,認定公立保育所,静岡県沼津市戸田1031-1,,34.9711238,138.7839478,,,0558-94-2303,,0558-94-3099,8000020222038,沼津市,,40,4か月から,月火水木金土,7:30,18:30,休園日：12月29日～1月3日、日曜日、祝日,,https://www.city.numazu.shizuoka.jp/kurashi/kyoiku/kosodate/azukeru/heda.htm,
222038,8,静岡県,沼津市,永明保育園,ヨウメイホイクエン,認定私立保育所,静岡県沼津市幸町55,,35.0960285,138.8536044,,,055-951-4584,,055-951-4584,8080105000145,社会福祉法人みゆき会,,90,6か月から,月火水木金土,7:15,18:15,休園日：12月29日～1月3日、日曜日、祝日　,,http://www.ans.co.jp/u/numazu/youmei/,
222038,9,静岡県,沼津市,恵愛保育園,ケイアイホイクエン,認定私立保育所,静岡県沼津市吉田町4-10,,35.0929101,138.8596884,,,055-931-4906,,055-932-5455,4080105000124,社会福祉法人羊之舎恵愛会,,100,2か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：なし,,http://keiaihoikuen.ed.jp/,
222038,10,静岡県,沼津市,霊山保育園,レイザンホイクエン,認定私立保育所,静岡県沼津市本郷町25-37,,35.0933959,138.8712082,,,055-931-1261,,055-931-1261,6080105000139,社会福祉法人梅花会,,60,6か月前後から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：なし,,http://palangel.jp/r2/us/reizan/,
222038,11,静岡県,沼津市,岳東保育園,ガクトウホイクエン,認定私立保育所,静岡県沼津市大岡2468-1,,35.1163564,138.8791118,,,055-921-4785,,055-925-2510,6080105000122,社会福祉法人岳東会,,150,6か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：なし,,http://www.ans.co.jp/u/numazu/gakutou/,
222038,12,静岡県,沼津市,静浦保育園,シズウラホイクエン,認定私立保育所,静岡県沼津市馬込164-1,,35.0586,138.883799,,,055-931-3378,,055-931-8962,9080105000136,社会福祉法人翠会,,30,3か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：なし,,http://www.ans.co.jp/u/numazu/shizuura/index.htm,
222038,13,静岡県,沼津市,愛鷹保育園,アシタカホイクエン,認定私立保育所,静岡県沼津市西椎路608,,35.1274664,138.8262604,,,055-968-2500,,055-968-2501,3080105000133,社会福祉法人鷹の羽会,,150,0歳児は要相談,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：なし,,http://ashitakah.com/,
222038,14,静岡県,沼津市,かぴらばす保育園,カピラバスホイクエン,認定私立保育所,静岡県沼津市下香貫牛臥3058,,35.075018,138.8639359,,,055-931-1827,,055-933-5400,2080105000134,社会福祉法人光明会,,60,6か月から,月火水木金土,7:00,18:00,休園日：12月29日～1月3日、日曜日、祝日;延長時間：（夕）18:00～19:00;土曜延長保育：なし,,http://www.kapirabasu.jp/,
