NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,明電舎(株),メイデンシャ,静岡県沼津市東間門515,,35.1142406,138.8468488,,,,222038,静岡県,沼津市,,,,,,1,,,,,,,
2,高校学校群(市立高、加藤学園),コウコウガッコウグン,静岡県沼津市三枚橋字鐘突免673他,,35.11271626,138.8674929,,,,222038,静岡県,沼津市,,,,,,1,,,,,,,
3,香貫山公園,カヌキヤマコウエン,静岡県沼津市上香貫物見山2427他,,35.09180187,138.875838,,,,222038,静岡県,沼津市,,,,,,1,,,,,,,
4,香陵運動場及び第四小学校,コウリョウウンドウジョウオヨビダイヨンショウガッコウ,静岡県沼津市御幸町4-1他,,35.09691973,138.8646311,,,,222038,静岡県,沼津市,,,,,,1,,,,,,,
5,香貫小周辺(香貫小、三中、沼工),カヌキショウシュウヘン,静岡県沼津市下香貫猪沼986他,,35.0826323,138.8839421,,,,222038,静岡県,沼津市,,,,,,1,,,,,,,
6,大岡南小学校及び大岡公園,オオオカミナミショウガッコウオヨビオオオカコウエン,静岡県沼津市大岡1312他,,35.1028976,138.8755703,,,,222038,静岡県,沼津市,,,,,,1,,,,,,,
7,我入道公園,ガニュウドウコウエン,静岡県沼津市我入道秋葉町441,,35.07455117,138.8621236,,,,222038,静岡県,沼津市,,,,,,1,,,,,,,
8,第一小学校,ダイイチショウガッコウ,静岡県沼津市八幡町65-1,,35.09880925,138.8541334,,,,222038,静岡県,沼津市,1,1,,1,1,1,,1,1,,,,
9,中央公園,チュウオウコウエン,静岡県沼津市大手町４丁目185-4,,35.09889464,138.8596373,,,,222038,静岡県,沼津市,,,,1,1,1,,,,,,,
10,第一中学校,ダイイチチュウガッコウ,静岡県沼津市丸子町692-1,,35.1037017,138.8493655,,,,222038,静岡県,沼津市,1,1,,1,1,1,,1,1,,,,
11,浅間神社,センゲンジンジャ,静岡県沼津市浅間町225,,35.09516334,138.8553863,,,,222038,静岡県,沼津市,,,,1,1,1,,,,,,,
12,県立沼津西高校,ケンリツヌマヅニシコウコウ,静岡県沼津市本字千本1910-9,,35.09564967,138.8479991,,,,222038,静岡県,沼津市,1,1,,1,1,1,,1,1,,,,
13,第二中学校,ダイニチュウガッコウ,静岡県沼津市本字千本1910-19,,35.0972868,138.8464085,,,,222038,静岡県,沼津市,1,1,,1,1,1,,1,1,,,,
14,第三中学校,ダイサンチュウガッコウ,静岡県沼津市下香貫木ノ宮888,,35.08384209,138.8803975,,,,222038,静岡県,沼津市,1,1,,1,1,1,,1,1,,,,
15,県立沼津工業高校,ケンリツヌマヅコウギョウコウコウ,静岡県沼津市下香貫八重129-1,,35.08625579,138.8778511,,,,222038,静岡県,沼津市,1,1,,1,1,1,,1,1,,,,
16,香貫小学校,カヌキショウガッコウ,静岡県沼津市下香貫猪沼986,,35.08245794,138.8839505,,,,222038,静岡県,沼津市,1,1,,1,1,1,,1,1,,,,
17,我入道コミュニティ防災センター,ガニュウドウコミュニティボウサイセンター,静岡県沼津市我入道東町175-1,,35.07924013,138.8618009,,,,222038,静岡県,沼津市,1,1,,1,1,1,,1,1,,,,
18,我入道公園,ガニュウドウコウエン,静岡県沼津市我入道秋葉町441,,35.07455117,138.8621236,,,,222038,静岡県,沼津市,,,,1,1,1,,,,,,,
19,香陵運動場,コウリョウウンドウジョウ,静岡県沼津市御幸町15-1,,35.09545055,138.86472,,,,222038,静岡県,沼津市,,,,1,1,1,,,,,,,
20,第四小学校,ダイヨンショウガッコウ,静岡県沼津市御幸町4-1,,35.09709437,138.8646262,,,,222038,静岡県,沼津市,,,,1,1,1,,1,1,,,,
21,山王公園,サンノウコウエン,静岡県沼津市平町7-24,,35.10086407,138.8684141,,,,222038,静岡県,沼津市,,,,1,,1,,,,,,,
22,市立高校・中等部,シリツコウコウ・チュウトウブ,静岡県沼津市三枚橋字鐘突免673,,35.11253635,138.8674929,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
23,加藤学園高校,カトウガクエンコウコウ,静岡県沼津市大岡1979,,35.1166939,138.8692186,,,,222038,静岡県,沼津市,,,,1,,1,,1,1,,,,
24,第五中学校,ダイゴチュウガッコウ,静岡県沼津市五月町15-1,,35.11360258,138.8644423,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
25,第五小学校,ダイゴショウガッコウ,静岡県沼津市米山町9-1,,35.10789777,138.8638181,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
26,開北小学校,カイホクショウガッコウ,静岡県沼津市高沢町17-1,,35.10781104,138.8543398,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
27,駿河グラウンド,スルガグラウンド,静岡県沼津市沼北町２丁目4-26,,35.11345061,138.8504115,,,,222038,静岡県,沼津市,,,,1,,1,,,,,,,
28,門池小学校,カドイケショウガッコウ,静岡県沼津市岡一色88-2,,35.12502655,138.8820279,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
29,門池中学校,カドイケチュウガッコウ,静岡県沼津市岡一色657-1,,35.1326054,138.8778756,,,,222038,静岡県,沼津市,,,,1,,1,,1,1,,,,
30,沼津工業高等専門学校,ヌマヅコウギョウコウトウセンモンガッコウ,静岡県沼津市大岡3600,,35.13582426,138.885227,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
31,門池公園,カドイケコウエン,静岡県沼津市岡一色786-9他,,35.12907,138.882149,,,,222038,静岡県,沼津市,,,,1,,1,,,,,,,
32,県立沼津東高校,ケンリツヌマヅヒガシコウコウ,静岡県沼津市岡宮812,,35.12991629,138.8661952,,,,222038,静岡県,沼津市,,,,1,,1,,1,1,,,,
33,金岡中学校,カナオカチュウガッコウ,静岡県沼津市神田町4-1,,35.1163501,138.8663746,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
34,飛龍高校,ヒリュウコウコウ,静岡県沼津市東熊堂491,,35.11736569,138.8678176,,,,222038,静岡県,沼津市,,,,1,,1,,1,1,,,,
35,金岡小学校,カナオカショウガッコウ,静岡県沼津市江原町3-1,,35.11932934,138.8617348,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
36,沢田小学校,サワダショウガッコウ,静岡県沼津市中沢田715,,35.1292591,138.8523976,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
37,駿河台公園,スルガダイコウエン,静岡県沼津市駿河台15,,35.1276924,138.8597099,,,,222038,静岡県,沼津市,,,,1,,1,,,,,,,
38,豊町公園,ユタカチョウコウエン,静岡県沼津市豊町7,,35.13018774,138.8623726,,,,222038,静岡県,沼津市,,,,1,,1,,,,,,,
39,大岡小学校,オオオカショウガッコウ,静岡県沼津市大岡2358,,35.11258762,138.8797579,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
40,大岡南小学校,オオオカミナミショウガッコウ,静岡県沼津市大岡字原田1312,,35.10350763,138.8765627,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
41,大岡中学校,オオオカチュウガッコウ,静岡県沼津市大岡2110,,35.11504318,138.874486,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
42,愛鷹地区センター,アシタカチクセンター,静岡県沼津市東原358-1,,35.12915048,138.8229408,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
43,西部市民運動場,セイブシミンウンドウジョウ,静岡県沼津市東椎路1749-1,,35.12847066,138.8319539,,,,222038,静岡県,沼津市,,,,1,,1,,,,,,,
44,片浜小学校,カタハマショウガッコウ,静岡県沼津市大諏訪41,,35.1107722,138.8284047,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
45,片浜中学校,カタハマチュウガッコウ,静岡県沼津市小諏訪180,,35.10638307,138.8400184,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
46,今沢小学校,イマザワショウガッコウ,静岡県沼津市東原76-1,,35.12511577,138.8182605,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
47,大平小学校,オオヒラショウガッコウ,静岡県沼津市大平2200,,35.07665684,138.9104045,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
48,大平中学校,オオヒラチュウガッコウ,静岡県沼津市大平1144,,35.07136494,138.9030402,,,,222038,静岡県,沼津市,,,,1,,1,,1,1,,,,
49,旧静浦西小学校,キュウシズウラニシショウガッコウ,静岡県沼津市志下530,,35.06353628,138.8836405,,,,222038,静岡県,沼津市,1,1,,1,1,1,,1,1,,,,
50,南部浄化センター,ナンブジョウカセンター,静岡県沼津市江浦7-3,,35.04923062,138.8889476,,,,222038,静岡県,沼津市,,,,1,1,1,,,,,,,
51,内浦小学校,ウチウラショウガッコウ,静岡県沼津市内浦三津410-1,,35.02480889,138.9030024,,,,222038,静岡県,沼津市,,,,1,1,1,,1,1,,,,
52,長井崎中学校,ナガイサキチュウガッコウ,静岡県沼津市内浦重須453,,35.02186153,138.8832375,,,,222038,静岡県,沼津市,1,1,,1,1,1,,1,1,,,,
53,西浦小学校,ニシウラショウガッコウ,静岡県沼津市西浦平沢255-2,,35.01949446,138.8564231,,,,222038,静岡県,沼津市,1,1,,1,1,1,,1,1,,,,
54,原小学校,ハラショウガッコウ,静岡県沼津市原1200,,35.12831824,138.7929855,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
55,原中学校,ハラチュウガッコウ,静岡県沼津市原576,,35.1259186,138.7869288,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
56,原東小学校,ハラヒガシショウガッコウ,静岡県沼津市大塚814-1,,35.12710386,138.8095836,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
57,浮島小学校,ウキシマショウガッコウ,静岡県沼津市平沼811,,35.14739901,138.7841539,,,,222038,静岡県,沼津市,1,1,,1,,1,,1,1,,,,
58,井田コミュニティ広場,イタコミュニティヒロバ,静岡県沼津市井田8-1,,34.99909514,138.7834332,,,,222038,静岡県,沼津市,,,,1,1,1,,,,,,,
59,市道上野・平戸線,シドウウエノ・ヒラトセン,静岡県沼津市戸田1259-1、1325-2,,34.97123331,138.7856898,,,,222038,静岡県,沼津市,,,,1,1,1,,,,,,,
60,戸田B&G海洋センター,ヘダビーアンドジーカイヨウセンター,静岡県沼津市戸田2053,,34.96838543,138.8012582,,,,222038,静岡県,沼津市,,,,1,1,1,,,1,,,,
61,舟山ふれあい広場,フナヤマフレアイヒロバ,静岡県沼津市戸田2558-1,,34.94898857,138.7767506,,,,222038,静岡県,沼津市,,,,1,,1,,,,,,,
62,第四中学校,ダイヨンチュウガッコウ,静岡県沼津市本郷町24-1,,35.09288434,138.8715849,,,,222038,静岡県,沼津市,1,1,,,,,,,,,,,
63,市立図書館,シリツトショカン,静岡県沼津市三枚橋町9-1,,35.10039525,138.8633443,,,,222038,静岡県,沼津市,1,1,,,,,,,,,,,
64,静浦小中一貫学校,シズウラショウチュウイッカンガッコウ,静岡県沼津市獅子浜17,,35.05051734,138.8858564,,,,222038,静岡県,沼津市,1,1,,,1,,,1,1,,,,
65,第二小学校,ダイニショウガッコウ,静岡県沼津市常磐町2丁目32,,35.08984474,138.8546314,,,,222038,静岡県,沼津市,1,1,,,1,,,,,,,,
66,中部浄化プラント（管理棟）,チュウブジョウカプラントカンリトウ,静岡県沼津市本字千本1905-4,,35.08397503,138.8539102,,,,222038,静岡県,沼津市,,,,,1,,,,,,,,
67,モン・ミュゼ沼津　沼津市庄司美術館,モンミュゼヌマヅヌマヅシショウジビジュツカン,静岡県沼津市本字下一丁田900-1,,35.09522234,138.8515997,,,,222038,静岡県,沼津市,,,,,1,,,,,,,,
68,千本小学校,センボンショウガッコウ,静岡県沼津市本字千本1910-19,,35.09665478,138.8476209,,,,222038,静岡県,沼津市,1,1,,,1,,,,,,,,
69,第三小学校,ダイサンショウガッコウ,静岡県沼津市下香貫下障子3157-2,,35.08017043,138.8689685,,,,222038,静岡県,沼津市,1,1,,,1,,,,,,,,
70,沼津市役所,ヌマヅシヤクショ,静岡県沼津市御幸町16-1,,35.09567373,138.8635381,,,,222038,静岡県,沼津市,,,,,1,,,,,,,,
71,沼津市民文化センター,ヌマヅシミンブンカセンター,静岡県沼津市御幸町15-1,,35.09535984,138.8660664,,,,222038,静岡県,沼津市,1,1,,,1,,,,1,,,,
72,第四地区センター,ダイヨンチクセンター,静岡県沼津市吉田町20-1,,35.09135283,138.862528,,,,222038,静岡県,沼津市,1,1,,,1,,,,,,,,
73,南部浄化センター(管理棟),ナンブジョウカセンターカンリトウ,静岡県沼津市江浦7-3,,35.04908277,138.8895055,,,,222038,静岡県,沼津市,,,,,1,,,,,,,,
74,津波避難マウント（多比）,ツナミヒナンマウントタビ,静岡県沼津市多比1-1他,,35.05122487,138.898102,,,,222038,静岡県,沼津市,,,,,1,,,,,,,,
75,津波避難タワー（内浦重須）,ツナミヒナンタワーウチウラオモス,静岡県沼津市内浦重須304-81地先,,35.01806696,138.8863554,,,,222038,静岡県,沼津市,,,,,1,,,,,,,,
76,津波避難タワー（西浦木負）,ツナミヒナンタワーニシウラキショウ,静岡県沼津市西浦木負216-128地先,,35.01980751,138.8783357,,,,222038,静岡県,沼津市,,,,,1,,,,,,,,
77,戸田小学校,ヘダショウガッコウ,静岡県沼津市戸田883,,34.97234046,138.7791149,,,,222038,静岡県,沼津市,,,,,1,,,,,,,,
78,戸田中学校,ヘダチュウガッコウ,静岡県沼津市戸田875,,34.97196682,138.7799946,,,,222038,静岡県,沼津市,1,1,,,1,,,,,,,,
79,保健センター戸田分館,ホケンセンターヘダブンカン,静岡県沼津市戸田916-2,,34.97370163,138.7809151,,,,222038,静岡県,沼津市,,,,,1,,,,,,,,
80,津波避難タワー（戸田）,ツナミヒナンタワーヘダ,静岡県沼津市戸田235,,34.97449055,138.77929,,,,222038,静岡県,沼津市,,,,,1,,,,,,,,
81,第一地区センター,ダイイチチクセンター,静岡県沼津市八幡町65-1,,35.09853,138.853538,,,,222038,静岡県,沼津市,1,1,,,,,,,,,,,
82,第二地区センター,ダイニチクセンター,静岡県沼津市本字千本1910-219,,35.093049,138.850993,,,,222038,静岡県,沼津市,1,1,,,,,,,,,,,
83,第三地区センター,ダイサンチクセンター,静岡県沼津市下香貫750-4,,35.084022,138.881477,,,,222038,静岡県,沼津市,1,1,,,,,,,,,,,
84,第五地区センター,ダイゴチクセンター,静岡県沼津市五月町15-1,,35.11424562,138.8644412,,,,222038,静岡県,沼津市,1,1,,,,,,,,,,,
