沼津市津波避難ビル一覧,,,,
名称,所在地,北緯,東経,
聖隷沼津健康診断センター,沼津市下一丁田895-1,35.095232,138.852030,
ゲストハウス,沼津市旭町18-19,35.092893,138.855254,
アサヒハイツ,沼津市旭町28-5,35.091576,138.855734,
エンゼルハイム旭町,沼津市旭町30-1,35.092184,138.855064,
エクセレントプラザ沼津,沼津市旭町31-1,35.092441,138.854949,
旭町シティープラザ,沼津市旭町26-1,35.091697,138.854949,
植松邸,沼津市本字下小路町354-2,35.093209,138.855464,
リバーサイドマンション,沼津市宮町462,35.092721,138.857312,
東栄ビル,沼津市本字宮町428-1,35.093178,138.856764,
コーポラス高野,沼津市下一丁田889-51,35.094657,138.852132,
芙蓉協会 管理棟,沼津市下一丁田898-1,35.094711,138.851574,
モン・ミュゼ沼津　沼津市庄司美術館,沼津市本字下一丁田900-1,35.095184,138.851537,
リーフグリーン,沼津市千本緑町1-11-2,35.092254,138.852435,
聖隷沼津病院Ａ棟,沼津市松下七反田902-6,35.094539,138.850585,
千本公務員宿舎,沼津市本字千本1910-1,35.093209,138.850807,
隆魚商店,沼津市下河原472,35.091168,138.857204,
(有)マルリ商店,沼津市下河原482-5,35.091475,138.857271,
アイビス不動産,沼津市下河原468,35.091448,138.857679,
エンゼルハイム下河原,沼津市下河原79,35.088699,138.858103,
ダコタ・ハウス,沼津市下河原1172-2,35.089511,138.857797,
ＦＬＡＴ　ＹＯＵ　千本,沼津市下河原35-1,35.089247,138.855694,
ルピナス下河原,沼津市下河原35-11,35.089745,138.855439,
モンシャトー沼津千本,沼津市下河原35-6,35.089425,138.855633,
千本エレガンス,沼津市下河原35-9,35.089631,138.855501,
やいづ屋商会,沼津市下河原63,35.089366,138.856961,
コーポ鈴木,沼津市下河原64,35.088905,138.856923,
マンションコルディエラ下河原,沼津市下河原8-4,35.090979,138.855372,
サーラシティ千本,沼津市常盤町1-18-1,35.090919,138.853283,
トキワマンション,沼津市千本常盤町1-19,35.090127,138.852229,
ヴィラシャルマン,沼津市常盤町1-2-1,35.090878,138.852999,
めぞん千本,沼津市常盤町2-2,35.089313,138.852838,
ヴィラ千本,沼津市常盤町2-2,35.089129,138.852653,
エンゼルハイム常盤町,沼津市常盤町3-12-2,35.087933,138.854694,
沼津市立第二小学校,沼津市常盤町2-32,35.089711,138.854479,
沼津市中部浄化プラント（管理棟）,沼津市本字千本1905-4,35.083964,138.853830,
（株）五十嵐水産蓼原工場,沼津市蓼原町37-4,35.082889,138.860058,
羽野水産（株）本社,沼津市春日町69-1,35.081721,138.859656,
沼津魚類協同組合市場冷蔵庫,沼津市千本港口128,35.081603,138.857226,
勝呂医院,沼津市千本中町19,35.087598,138.855394,
千本ウェストコープ,沼津市千本西町3-1,35.086869,138.853666,
（株）マルヤ水産社員寮,沼津市千本西町37,35.085878,138.854694,
橘水産（株）,沼津市千本西町43,35.085233,138.854565,
エステート・アベ,沼津市蛇松町20-1,35.086875,138.859519,
パレドール沼津,沼津市蛇松町22-1,35.087047,138.859351,
ポートブリッジマンション,沼津市蓼原町2,35.084599,138.860200,
沼津魚類協同組合製氷工場,沼津市千本港口1901-14,35.080628,138.854511,
ぬまづみなとパーキング2号棟,沼津市千本港町124,35.081467,138.857824,
羽野水産（株）外港冷蔵庫,沼津市本字千本1905-39,35.085178,138.850542,
沼津港大型展望水門びゅうお,沼津市本字千本1905-27,35.081344,138.854643,
千本ハイム,沼津市下一丁田893-4,35.095081,138.852148,
ふれあい常盤ハイツA,沼津市常盤町3-13-1,35.088288,138.854675,
シャリエ沼津御成橋,沼津市魚町5,35.095607,138.857923,
村松マンション,沼津市本町34,35.096042,138.856261,
コーポ寿山,沼津市本町35,35.096011,138.856459,
メゾン・グランツ沼津浅間,沼津市浅間町12,35.094438,138.855804,
エンゼルコート88,沼津市市道町8-11,35.095388,138.851069,
植松邸,沼津市本字下小路町354-2,35.097095,138.851765,
野田米店,沼津市市道町10-30,35.097201,138.850555,
沼津市立第二中学校,沼津市本字千本1910-19,35.097396,138.846336,
沼津市立千本小学校,沼津市本字千本1910-19,35.096597,138.847586,
静岡県立沼津西高等学校,沼津市本字千本1910-9,35.095882,138.847935,
植松Yコーポ,沼津市東間門823-1,35.099347,138.845647,
メゾンＭ2,沼津市東間門2丁目4-15,35.100251,138.846706,
パレスシーサイド,沼津市西間門543,35.099525,138.843241,
県営住宅千本団地,沼津市西間門574-9,35.099180,138.842761,
THE　UNO　マンション,沼津市市道町12-1,35.097229,138.849734,
オリゾンブルー,沼津市本字千本1910-24,35.090650,138.849263,
アージェント千本,沼津市千本西町40,35.085788,138.854230,
ＭＡＮＩＳＨ,沼津市千本緑町3-3-3,35.091680,138.853209,
プルミエール下河原,沼津市下河原23-14,35.089347,138.856835,
沼津魚類協同組合,沼津市我入道江川町18-1,35.082195,138.864194,
ハイライフ藤,沼津市我入道江川16-11,35.081754,138.864267,
ハイライフ藤Ⅱ,沼津市我入道江川町22-1,35.081844,138.864569,
ひまわり荘,沼津市我入道稲荷町398-1,35.077519,138.861389,
コーポエンドレスⅡ,沼津市西島町1-1,35.088626,138.861694,
ロイヤルマンション香貫,沼津市西島町1-39　,35.087926,138.862182,
Ｒｉ－ｓｔａｇｅⅡ,沼津市西島町5-5,35.087829,138.863473,
Ｒｉ－ｓｔａｇｅⅠ,沼津市西島町5-28,35.087634,138.863304,
ソブリンハウス,沼津市西島町4-30,35.087783,138.864969,
セピアム62,沼津市西島町13-40,35.086425,138.864948,
サンクレイドル沼津,沼津市西島町16-18,35.084934,138.863234,
サンコーポ上香貫,沼津市西島町17-15,35.083784,138.863567,
マックスバリュ沼津南店立体駐車場,沼津市西島町11,35.085501,138.863355,
ナイスアーバン上香貫,沼津市上香貫字三貫地1185番地１,35.083296,138.863726,
ハイツ米寿,沼津市上香貫三貫地1256-1,35.083819,138.867512,
ポヌール香貫,沼津市下香貫下障子3176-2,35.081816,138.867627,
メゾンイワサキ,沼津市下香貫下障子3225-1,35.081058,138.866171,
コーポ塩場,沼津市下香貫塩場3069-1,35.078246,138.866058,
サンクリア21,沼津市下香貫下障子3220,35.080382,138.866391,
岩崎ハイツ,沼津市下香貫塩場3068-1,35.078104,138.866038,
パミール香貫,沼津市下香貫塩場3070-1,35.078407,138.866311,
ジュネス藤,沼津市下香貫善太夫3135-6,35.078229,138.869604,
コーポ香貫,沼津市下香貫塩場3083-1,35.078619,138.867778,
ニューカネブンマンション,沼津市下香貫下障子3195,35.080457,138.867539,
エンゼルハイム香貫,沼津市下香貫下障子3200-1,35.081359,138.867276,
ニューリバーハウスＡ棟,沼津市下香貫善太夫3134-1,35.079041,138.868977,
ニューリバーハウスＢ棟,沼津市下香貫善太夫3134-1,35.078795,138.868904,
エンゼルハイム香貫第2,沼津市下香貫善太夫3131,35.078653,138.868566,
レオグランド森,沼津市下香貫下障子3196-2,35.080761,138.867662,
静岡新聞社ＳＢＳ静岡放送牛臥社宅,沼津市下香貫牛臥3028-1,35.076493,138.864224,
エスペランサ,沼津市下香貫牛臥3023-9,35.075553,138.864087,
瀬尾記念慶友病院,沼津市下香貫島郷2773-1,35.075037,138.872013,
創価学会沼津文化会館,沼津市下香貫浜田2997-1,35.077131,138.867566,
沼津市立第三小学校,沼津市下香貫下障子3157-2,35.080139,138.868919,
モラーダ,沼津市下香貫汐入2217-2,35.073485,138.877023,
永代マンション,沼津市吉田町14-25,35.088922,138.861501,
コーポエンドレス,沼津市吉田町14-17,35.089050,138.862016,
ルエカーサ真野,沼津市西島町4-53,35.087777,138.864393,
カーサ二瀬川マンション,沼津市上香貫二瀬川町1469-1,35.087347,138.869843,
オーパスヒルズ,沼津市上香貫二瀬川町1470-5,35.087031,138.869869,
グレース香貫,沼津市下香貫上障子370-2,35.084831,138.869556,
東海精機（株）,沼津市下香貫上障子421,35.084015,138.869304,
(有)橋本電機,沼津市下香貫宮脇324-19,35.086115,138.870854,
ベルハイム香南,沼津市下香貫楊原605-2,35.082994,138.877434,
ラ・フローラ,沼津市下香貫1453-3,35.081517,138.872024,
キャサリナ　ＡＣＥ,沼津市下香貫西村1452-1,35.081638,138.872606,
ヴィラカワグチ,沼津市下香貫矢丸1185-5,35.080859,138.877503,
コーポラス木の宮,沼津市下香貫木ノ宮814,35.082882,138.880069,
樋ノ口ハイツA棟,沼津市下香貫樋ノ口1690,35.077445,138.874293,
樋ノ口ハイツB棟,沼津市下香貫樋ノ口1690,35.077158,138.874443,
マンションうしお,沼津市下香貫汐入2174,35.074822,138.876050,
ベルコート香貫,沼津市下香貫2191,35.075019,138.877806,
プレパルク,沼津市下香貫藤井原1614-6,35.080442,138.874448,
セントヒルズＮ,沼津市下香貫宮脇289-1,35.085431,138.873772,
セントヒルズＳ,沼津市下香貫宮脇289-1,35.085268,138.873732,
ヴィラ一期一会,沼津市下香貫楊原617-5,35.083869,138.876169,
エムケープランドール,沼津市下香貫石原　1296,35.079921,138.875300,
コスモ21,沼津市下香貫字汐入2181-2,35.074041,138.875561,
沼津市役所,沼津市御幸町16-1,35.095605,138.863491,
