都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,種別,住所,方書,緯度,経度,口径,備考
222038,,静岡県,沼津市,井戸,沼津市下香貫塩場,,35.4.32.2,138.52.15.74,,
222038,,静岡県,沼津市,井戸,沼津市上香貫三貫地,,35.4.41.1,138.52.5.2,,
222038,,静岡県,沼津市,井戸,沼津市我入道南条寺,,35.4.35.29,138.52.4.74,,
222038,,静岡県,沼津市,井戸,沼津市我入道南条寺,,35.4.30.88,138.52.9.242,,
222038,,静岡県,沼津市,井戸,沼津市我入道南条寺,,35.4.28.045,138.52.4.71,,
222038,,静岡県,沼津市,井戸,沼津市下香貫下障子,,35.4.42.94,138.52.17.05,,
222038,,静岡県,沼津市,井戸,沼津市我入道一本松町,,35.4.30.79,138.51.59.07,,
222038,,静岡県,沼津市,井戸,沼津市我入道稲荷町,,35.4.27.2,138.51.52.84,,
222038,,静岡県,沼津市,井戸,沼津市我入道秋葉町,,35.4.22.18,138.51.51.97,,
222038,,静岡県,沼津市,井戸,沼津市我入道稲荷町,,35.4.28.52,138.51.48.4,,
222038,,静岡県,沼津市,井戸,沼津市我入道稲荷町,,35.4.25.08,138.51.49.45,,
222038,,静岡県,沼津市,井戸,沼津市我入道浜町,,35.4.29.64,138.51.44.66,,
222038,,静岡県,沼津市,井戸,沼津市我入道八間割,,35.4.26.85,138.51.43.22,,
222038,,静岡県,沼津市,井戸,沼津市下香貫島郷,,35.4.20.08,138.52.31.36,,
222038,,静岡県,沼津市,井戸,沼津市下香貫浜田,,35.4.29.33,138.52.22.99,,
222038,,静岡県,沼津市,井戸,沼津市我入道秋葉町,,35.4.22.58,138.52.0.14,,
222038,,静岡県,沼津市,井戸,沼津市下香貫島郷,,35.4.25.25,138.52.29.88,,
222038,,静岡県,沼津市,井戸,沼津市下香貫前原,,35.4.34.0,138.52.24.31,,
222038,,静岡県,沼津市,井戸,沼津市下香貫塩満,,35.4.26.58,138.52.49.74,,
222038,,静岡県,沼津市,井戸,沼津市下香貫樋ノ口,,35.4.21.9,138.52.37.976,,
222038,,静岡県,沼津市,井戸,沼津市下香貫島郷,,35.4.14.59,138.52.35.24,,
222038,,静岡県,沼津市,井戸,沼津市下香貫島郷,,35.4.4.24,138.52.42.656,,
222038,,静岡県,沼津市,井戸,沼津市大岡（日吉）,,35.5.46.39,138.52.30.61,,
222038,,静岡県,沼津市,井戸,沼津市平町,,35.5.47.15,138.52.14.34,,
222038,,静岡県,沼津市,防火水槽,沼津市足高,,35.9.9.03,138.51.20.37,,
222038,,静岡県,沼津市,防火水槽,沼津市西熊堂,,35.8.7.96,138.51.37.68,,
