都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
222038,,静岡県,沼津市,くるら戸田,クルラヘダ,Kurura Heda,,沼津市戸田1294番地の3,,34.971398,138.786625,年中無休,08:30,22:00,"売店・軽食　10:00~18:00
温泉　10:00~21:00",無料,温泉 大人 500円 子供 250円,沼津市に初めて設置された道の駅で、戸田地区のお土産や特産の深海魚を使用した軽食、源泉かけ流しの日帰り温泉と足湯もあります。長旅で疲れた体を癒してくれる施設です。,,東名沼津IC又は新東名長泉沼津ICより国道414号経由、口野交差点を右折、県道沼津土肥線沿い又は西浦古宇経由　約45ｋｍ、約90分,普通 41台 大型 ３台 身体障害用 ２台 二輪車用20台,多目的トイレ有り、車椅子貸出有り,くるら戸田事務室,0558-94-5151,,,,"https://kururaheda.net/
",
222038,,静岡県,沼津市,戸田はかま滝オートキャンプ場,ヘダハカマタキオートキャンプジョウ,Heda hakamataki Auto-Camping Ground,,沼津市戸田3908番地の13,,34.966465,138.819167,3月20日～10月31日,13:00,11:00,"チェックイン　13:00から
チェックアウト　11:00まで","5,500円","オートサイト　5,550円
フリーサイト　2,200円",戸田地区の自然を生かした当キャンプ場はサイトごと分かれており、中央には池に流れる小さな沢があり、マス釣りが楽しめます。,,東名沼津IC又は新東名長泉沼津ICより国道414号経由、口野交差点を右折、西浦古宇経由　約40ｋｍ、約80分,15台　(各サイト１台駐車可能),多目的トイレ有り,戸田森林組合,0558-94-2123,,,,"https://jforestheda.wixsite.com/hakamacamp
",
222038,,静岡県,沼津市,沼津港大型展望水門　びゅうお,ヌマヅコウオオガタテンボウスイモン　ビュウオ,"Water Gate with Observatory ""View-O""",,沼津市千本1905番地の27,,35.0814506,138.8545362,年中無休　（ただしメンテナンスの絶えの臨時休館あり）,10:00,21:00,木曜日のみ14：00まで,"大人100円
小人  50円",,"沼津港に高くそびえる巨大な建造物で、東海地震の津波対策の一環として完成した水門です。幅40ｍ高さ9.3ｍ、重量が406ｔと日本最大級の水門です。
水門には、地上30ｍの所に展望施設が併設されており、富士山や箱根連山、沼津アルプス、駿河湾の大パノラマを一望することができます。",,"ＪＲ沼津駅よりバス約10分「沼津港」下車
東名沼津ＩＣより約25分",約40台,"施設内にトイレ無し
隣接する公園に多目的トイレあり",びゅうお事務室,055-963-3200,,,,,
222038,,静岡県,沼津市,"沼津御用邸記念公園
（名勝旧沼津御用邸苑地）","ヌマヅゴヨウテイキネンコウエン
（メイショウキュウヌマヅゴヨウテイエンチ）","Numazu Goyoutei Imperial Villa Park
（Gardens of former Numazu Goyoutei Imperial Villa- a nationally-designated Place of Scenic Beauty）",,静岡県沼津市下香貫島郷2802-1,,,,月火水木金土日,09:00,16:30,,100円,"大人（個人100円、団体60円）
小・中学生（個人50円、団体30円）",,,"東名沼津I.C.より約25分
JR沼津駅よりバスで約15分","乗用車無料
バス・マイクロバス　1,040円/台",,,055-931-0005,,,,http://www.numazu-goyotei.com/access/index.html,
222038,,静岡県,沼津市,らららサンビーチ,ラララサンビーチ,Rarara sun Beach,,沼津市西浦平沢517－5,,35.01986,138.86118,月火水木金土日,08:30,17:00,"4月～１０月　
8:30～17:00
11月～３月
8:30～16:00",入場無料,"駐車料金
普通車　1,000円／日
バス　　　2,000円／日
バイク　　200円／日",　らららサンビーチは、海水浴と磯遊びが一緒にできる人工海浜です。このビーチは、白い砂浜で、海水の透明度が高く、波は穏やかで家族連れにおすすめです。,"Rarara sun beach is the artificial beach where there are sea bathing and play with a whore together. Transparency of the seawater is high in this beach on a white sandy beach, and the wave is calm, and it is recommended to families.",JR沼津駅よりバスで約５０分,"普通車　130台
バス　要予約","多目的トイレ有り
スロープ有り","沼津市　産業振興部　
水産海浜課","０５５－
９３４－４７５３",２５３２,https://numazukanko.jp/spot/10004,,https://numazukanko.jp/spot/10004,画像、URLは、沼津観光ポータル参照
222038,,静岡県,沼津市,駿河湾深海生物館,スルガワンｼﾝｶｲｾｲﾌﾞﾂｶﾝ,Suruga Bay deep sea creature museum,,沼津市戸田2710－1,,34.97668,138.76655,"水曜日、祝日の翌日、
年末年始",09:00,16:30,,入館料　200,"大人　200円
小・中学生　100円
団体（20名以上）　２割引",　深海生物館は、駿河湾に生息する深海魚の標本が約３００種展示されています。,"In the deep sea creature museum, about 300 kinds of specimens of the deep-sea fish inhabiting Suruga Bay are displayed.",伊豆箱根鉄道修善寺駅よりバスで約60分,あり,,"沼津市　産業振興部　
水産海浜課","０５５－
９３４－４７５３",２５３２,https://numazukanko.jp/spot/10039,,https://numazukanko.jp/spot/10039,画像、URLは、沼津観光ポータル参照
222038,,静岡県,沼津市,戸田地域活性化センター,ヘダチイキカッセイカセンター,,,沼津市戸田1294-3,,,,,,,,,,,,,,,,,,,,,
222038,,静岡県,沼津市,西浦海浜施設,ニシウラカイヒンシセツ,,,沼津市西浦平沢517-4,,,,,,,,,,,,,,,,,,,,,
222038,,静岡県,沼津市,市民の森,シミンノモリ,,,沼津市西浦河内506他,,,,,,,,,,,,,,,,,,,,,
222038,,静岡県,沼津市,ゆめとびら舟山,ユメトビラフナヤマ,,,沼津市戸田2558-1,,,,,,,,,,,,,,,,,,,,,
222038,,静岡県,沼津市,歴史民俗資料館,レキシミンゾクシリョウカン,,,沼津市下香貫島郷2802-1,,,,,,,,,,,,,,,,,,,,,
222038,,静岡県,沼津市,明治史料館,メイジシリョウカン,,,沼津市西熊堂372-1,,,,,,,,,,,,,,,,,,,,,
222038,,静岡県,沼津市,戸田造船郷土資料博物館,ヘダゾウセンキョウドシリョウハクブツカン,,,沼津市戸田2710-1,,,,,,,,,,,,,,,,,,,,,
222038,,静岡県,沼津市,若山牧水記念館,ワカヤマボクスイキネンカン,,,沼津市本字千本郷林1907番地の11,,,,,,,,,,,,,,,,,,,,,
222038,,静岡県,沼津市,庄司美術館,ショウジビジュツカン,,,沼津市本字下一丁田-900-1,,,,,,,,,,,,,,,,,,,,,
222038,,静岡県,沼津市,芹沢光治良記念館,セリザワコウジロウキネンカン,,,沼津市我入道蔓陀ヶ原517-1,,,,,,,,,,,,,,,,,,,,,
222038,,静岡県,沼津市,帯笑園,タイショウエン,,,沼津市原字御殿場194-1,,,,,,,,,,,,,,,,,,,,,
222038,,静岡県,沼津市,松城家住宅,マツシロケジュウタク,,,沼津市戸田72,,,,,,,,,,,,,,,,,,,,,
