施設名,住所,電話番号,緯度,経度
第一小学校,静岡県沼津市八幡町65-1,055-962-0351,35.0989219,138.8538347
第一中学校,静岡県沼津市本丸子町692-1,055-962-1551,35.1034,138.84917
第二中学校,静岡県沼津市本字千本1910-19,055-962-1552,35.0974,138.846282
県立沼津西高等学校,静岡県沼津市本字千本1910-9,055-962-0345,35.095595,138.847976
香貫小学校,静岡県沼津市下香貫猪沼986,055-931-1234,35.08212161,138.8842121
第三中学校,静岡県沼津市下香貫木ノ宮888,055-931-1553,35.083759,138.880653
県立沼津工業高等学校,静岡県沼津市下香貫八重129-1,055-931-0343,35.086485,138.877753
我入道コミュニティ防災センター,静岡県沼津市我入道字東町175-1,055-931-9525,35.07919037,138.8617651
第四小学校,静岡県沼津市御幸町4-1,055-931-0354,35.097067,138.864475
沼津市民文化センター,静岡県沼津市御幸町15-1,055-932-6111,35.09525451,138.866045
第五小学校,静岡県沼津市米山町9-1,055-921-0355,35.107511,138.863753
第五中学校,静岡県沼津市五月町15-1,055-921-1555,35.11377208,138.8645027
市立沼津高等学校・中等部,静岡県沼津市三枚橋字鐘突免673,055-921-0805・055-924-8000,35.11260071,138.8672104
加藤学園高等学校,静岡県沼津市大岡1979,055-921-0347,35.11636729,138.8693683
県立沼津視覚特別支援学校,静岡県沼津市米山町6-20,055-921-2099,35.10616628,138.8623553
県立沼津聴覚特別支援学校,静岡県沼津市泉町4-1,055-921-3398,35.11086895,138.8636957
沼津中央高等学校,静岡県沼津市杉崎町11-20,055-921-0346,35.10734553,138.8663303
開北小学校,静岡県沼津市高沢町17-1,055-921-4041,35.107677,138.85417
桐陽高等学校,静岡県沼津市高島本町8-52,055-921-0350,35.11066912,138.8579365
誠恵高等学校,静岡県沼津市沼北町2丁目9-12,055-921-5088,35.11321878,138.8527859
門池小学校,静岡県沼津市岡一色88-2,055-922-1481,35.125149,138.882168
門池中学校,静岡県沼津市岡一色657-1,055-923-3900,35.132019,138.878015
県立沼津東高等学校,静岡県沼津市岡宮812,055-921-0341,35.129731,138.866085
沼津工業高等専門学校,静岡県沼津市大岡3600,055-921-2700,35.136231,138.884084
飛龍高等学校,静岡県沼津市東熊堂491,055-921-0348,35.11691865,138.868096
金岡小学校,静岡県沼津市江原町3-1,055-921-1371,35.119288,138.861364
沢田小学校,静岡県沼津市中沢田715,055-924-0161,35.128851,138.85248
金岡中学校,静岡県沼津市神田町4-1,055-921-1558,35.116121,138.866252
大岡小学校,静岡県沼津市大岡2358,055-921-1885,35.112705,138.879363
大岡南小学校,静岡県沼津市大岡1312,055-962-0355,35.103234,138.876558
大岡中学校,静岡県沼津市大岡2110,055-921-1557,35.114733,138.874696
愛鷹小学校,静岡県沼津市西椎路673-1,055-966-4244,35.13111461,138.8300211
愛鷹地区センター,静岡県沼津市東原358-1,055-966-5301,35.12912027,138.8228834
片浜小学校,静岡県沼津市大諏訪41,055-962-0357,35.11108231,138.8287498
片浜中学校,静岡県沼津市小諏訪180,055-962-1556,35.106149,138.839838
今沢小学校,静岡県沼津市東原76-1,055-966-5522,35.124813,138.818089
大平小学校,静岡県沼津市大平2200,055-931-5020,35.0764183,138.9104546
大平中学校,静岡県沼津市大平1144,055-931-5021,35.07113078,138.9032351
静浦小中一貫学校,静岡県沼津市獅子浜17,055-931-3017,35.05084964,138.8856061
旧静浦西小学校,静岡県沼津市志下530,,35.0637324,138.8835135
内浦小学校,静岡県沼津市内浦三津410-1,055-943-2134,35.02477,138.901251
西浦小学校,静岡県沼津市西浦平沢255-2,055-942-2004,35.01921183,138.8561996
長井崎中学校,静岡県沼津市内浦重須453,055-941-3111,35.021381,138.883308
原小学校,静岡県沼津市原1200,055-966-0034,35.128034,138.792981
原東小学校,静岡県沼津市大塚814-1,055-967-1213,35.126809,138.809856
原中学校,静岡県沼津市原576,055-966-0138,35.126007,138.787871
浮島小学校,静岡県沼津市平沼811,055-966-2004,35.14703787,138.7844024
戸田Ｂ＆Ｇ海洋センター,静岡県沼津市戸田2053,0558-94-3501　,34.96838543,138.8012582
戸田地区センター,静岡県沼津市戸田1294-3,0558-94-5100,34.97126213,138.7866025
