施設名,住所,電話番号,緯度,経度
駿東伊豆消防本部,静岡県沼津市寿町2-10,（代表）055-920-0119,35.1158904,138.860555
駿東伊豆消防指令センター,静岡県沼津市北高島町21-38,055-927-0119,35.1132683,138.858921
沼津北消防署,静岡県沼津市寿町2-10,055-923-0119,35.1158904,138.860555
沼津北消防署　西分署,静岡県沼津市東椎路春ノ木537,055-924-0119,35.1185433,138.833271
沼津北消防署　原分署,静岡県沼津市原1721-18,055-967-0119,35.1302662,138.803016
沼津南消防署,静岡県沼津市吉田町20-1,055-934-0119,35.0912437,138.862331
沼津南消防署　静浦分署,静岡県沼津市獅子浜14-1,055-932-8119,35.0500179,138.886749
沼津南消防署　内浦出張所,静岡県沼津市内浦三津88-12,055-941-3119,35.0226983,138.89834
沼津南消防署　西浦出張所,静岡県沼津市西浦立保22-1,055-942-3119,35.0168823,138.853385
沼津南消防署　大平出張所,静岡県沼津市大平1442-6,055-933-0119,35.0729521,138.906019
沼津南消防署　戸田出張所,静岡県沼津市戸田1306-1,0558-94-5119,34.9718326,138.787434
沼津市救急ワークステーション,静岡県沼津市東椎路春ノ木550,055-921-9999,35.1204958,138.834854
