都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
222038,,静岡県,沼津市,沼津駅北口レストスポット,ヌマヅエキキタグチレストスポット,,沼津市大手町一丁目13-9,,沼津駅北口,35.10370,138.86045,6,4,1,1,3,1,2,0,0,0,2,有,有,無,06:00,00:00,,,,
222038,,静岡県,沼津市,沼津駅南口レストスポット,ヌマヅエキミナミグチレストスポット,,沼津市大手町一丁目102,,沼津駅南口,35.10247,138.85899,3,2,0,1,2,1,1,0,0,0,1,有,有,有,06:00,00:00,,,,
222038,,静岡県,沼津市,沼津港レストスポット,ヌマヅコウレストスポット,,沼津市千本港町128-1,,沼津みなと新鮮館付近,35.08421,138.85738,4,3,1,0,3,3,0,0,0,0,0,無,無,無,,,24時間利用可能,,,
222038,,静岡県,沼津市,三津レストスポット,ミトレストスポット,,沼津市内浦三津88-28,,内浦漁協付近,35.02237,138.89745,6,4,2,0,4,4,0,0,0,0,0,無,無,無,,,24時間利用可能,,,
222038,,静岡県,沼津市,木負レストスポット,キショウレストスポット,,沼津市西浦木負216-128,,木負みかん園付近,35.01997,138.87811,2,1,1,0,1,1,0,0,0,0,1,有,有,無,,,24時間利用可能,,,
222038,,静岡県,沼津市,立保レストスポット,タチボレストスポット,,沼津市西浦立保22-1,,西浦市民窓口付近,35.01632,138.85310,3,2,1,0,2,2,0,0,0,0,0,無,無,無,,,24時間利用可能,,,
222038,,静岡県,沼津市,足保レストスポット,アシボレストスポット,,沼津市西浦足保352-2,,西浦足保港付近,35.01882,138.83639,1,0,1,0,1,0,1,0,0,0,0,無,無,無,,,24時間利用可能,,,
222038,,静岡県,沼津市,大瀬第一公衆便所,オセダイイチコウシュウベンジョ,,沼津市西浦江梨325-5,,大瀬駐車場付近,35.02311,138.78665,7,5,1,1,5,3,2,0,0,0,1,有,有,無,,,24時間利用可能,,,
222038,,静岡県,沼津市,大瀬第二公衆便所,オセダイニコウシュウベンジョ,,沼津市西浦江梨334-5,,大瀬神社付近,35.02790,138.78648,6,4,1,1,4,3,1,0,0,0,0,無,無,無,,,24時間利用可能,,,
222038,,静岡県,沼津市,井田レストスポット,イタレストスポット,,沼津市井田350,,井田海岸付近,35.00006,138.77905,3,2,1,0,3,0,3,0,0,0,1,有,無,無,,,24時間利用可能,,,
