都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
222038,,静岡県,沼津市,石坂外科　医院,ｲｼｻﾞｶｹﾞｶ,,沼津市新宿町1-7　,,,,921-0880,,,,,,,,,,,,,,
222038,,静岡県,沼津市,大岡　医院,ｵｵｵｶｲｲﾝ,,沼津市大岡2473-4　,,,,921-2248,,,,,,,,,,,,,,
222038,,静岡県,沼津市,大村医院,ｵｵﾑﾗｹﾞｶｲﾁｮｳｶｲｲﾝ,,沼津市江原町13-22　,,,,921-7185,,,,,,,,,,,,,,
222038,,静岡県,沼津市,甲斐　医院,ｶｲｲｲﾝ,,沼津市新宿町2-5　,,,,921-7311,,,,,,,,,,,,,,
222038,,静岡県,沼津市,かとう　クリニック,ｶﾄｳｸﾘﾆｯｸ,,沼津市若葉町4-14　,,,,926-7722,,,,,,,,,,,,,,
222038,,静岡県,沼津市,金岡　医院,ｶﾅｵｶｲｲﾝ,,沼津市江原町15-38　,,,,921-1147,,,,,,,,,,,,,,
222038,,静岡県,沼津市,小島レディース　クリニック,ｺｼﾞﾏﾚﾃﾞｨｰｽｸﾘﾆｯｸ,,沼津市大岡1125-1　,,,,952-1103,,,,,,,,,,,,,,
222038,,静岡県,沼津市,神尾産婦人科　医院,ｶﾐｵｻﾝﾌｼﾞﾝｶｲｲﾝ,,沼津市下香貫楊原530-11　,,,,931-1561,,,,,,,,,,,,,,
222038,,静岡県,沼津市,菅野　医院,ｶﾝﾉｲｲﾝ,,沼津市松長225-4　,,,,962-2335,,,,,,,,,,,,,,
222038,,静岡県,沼津市,木内産婦人科　医院,ｷｳﾁｻﾝﾌｼﾞﾝｶ,,沼津市原2027-1　,,,,967-1135,,,,,,,,,,,,,,
222038,,静岡県,沼津市,楠　医院,ｸｽﾉｷｲｲﾝ,,沼津市本錦町650-1　,,,,962-1308,,,,,,,,,,,,,,
222038,,静岡県,沼津市,坂小児科医院,ｻｶｼｮｳﾆｶｲｲﾝ,,沼津市下香貫前原1473-7　,,,,931-3233,,,,,,,,,,,,,,
222038,,静岡県,沼津市,さつき　クリニック,ｻﾂｷｸﾘﾆｯｸ,,沼津市寿町1-34　,,,,923-6135,,,,,,,,,,,,,,
222038,,静岡県,沼津市,ぬまづ島田耳鼻咽喉科医院,ﾇﾏﾂﾞｼﾏﾀﾞｼﾞﾋﾞｲﾝｺｳｶｲｲﾝ,,沼津市杉崎町５－１０　,,,,055-924-0780,,,,,,,,,,,,,,
222038,,静岡県,沼津市,志村内科胃腸科　医院,ｼﾑﾗﾅｲｶｲﾁｮｳｶｲｲﾝ,,沼津市下香貫島郷2627-1　,,,,932-2691,,,,,,,,,,,,,,
222038,,静岡県,沼津市,聖隷沼津健診センター,ｾｲﾚｲﾇﾏﾂﾞｹﾝｼﾝｾﾝﾀｰ,,沼津市本字下一丁田895-1　,,,,962-9882,,,,,,,,,,,,,,
222038,,静岡県,沼津市,瀬尾記念病院,ｾｵｷﾈﾝﾋﾞｮｳｲﾝ,,沼津市上土町3　,,,,962-5500,,,,,,,,,,,,,,
222038,,静岡県,沼津市,東海検診センター診療所,ﾄｳｶｲｹﾝｼﾝｾﾝﾀｰ,,沼津市新沢田町8-7　,,,,922-1157,,,,,,,,,,,,,,
222038,,静岡県,沼津市,冨山　医院,ﾄﾐﾔﾏｲｲﾝ,,沼津市内浦三津563　,,,,941-3010,,,,,,,,,,,,,,
222038,,静岡県,沼津市,中山消化器科クリニック,ﾅｶﾔﾏｼｮｳｶｷｶｸﾘﾆｯｸ,,沼津市西添町7-7　,,,,967-1170,,,,,,,,,,,,,,
222038,,静岡県,沼津市,原（市場町）　医院,ﾊﾗｲｲﾝ,,沼津市市場町12-29　,,,,931-0038,,,,,,,,,,,,,,
222038,,静岡県,沼津市,原小児科（八幡）　医院,ﾊﾗｼｮｳﾆｶ(ﾊﾁﾏﾝ)ｲｲﾝ,,沼津市八幡町27-2　,,,,962-0636,,,,,,,,,,,,,,
222038,,静岡県,沼津市,復明館眼科　医院,ﾌｸﾒｲｶﾝｶﾞﾝｶｲｲﾝ,,沼津市大手町３－３－１５　,,,,055-962-0138,,,,,,,,,,,,,,
222038,,静岡県,沼津市,富士サンロククリニック,ﾌｼﾞｻﾝﾛｸｸﾘﾆｯｸ,,沼津市東椎路1640　,,,,967-1222,,,,,,,,,,,,,,
222038,,静岡県,沼津市,星野（山王台）　医院,ﾎｼﾉｲｲﾝ,,沼津市山王台10-17　,,,,962-0782,,,,,,,,,,,,,,
222038,,静岡県,沼津市,松岡　医院,ﾏﾂｵｶｲｲﾝ,,沼津市志下176　,,,,931-0788,,,,,,,,,,,,,,
222038,,静岡県,沼津市,松田　医院,ﾏﾂﾀﾞｲｲﾝ,,沼津市三枚橋日の出町350-7　,,,,921-5265,,,,,,,,,,,,,,
222038,,静岡県,沼津市,満野産婦人科医院,ﾐﾂﾉｻﾝﾌｼﾞﾝｶｲｲﾝ,,沼津市中沢田284-2　,,,,923-8988,,,,,,,,,,,,,,
222038,,静岡県,沼津市,木村眼科医院,ｷﾑﾗｶﾞﾝｶｲｲﾝ,,沼津市原１８４－５　,,,,055-967-4611,,,,,,,,,,,,,,
222038,,静岡県,沼津市,桜井歯科医院,ｻｸﾗｲｼｶｲｲﾝ,,沼津市沼北町,,,,055-921-1008,,,,,,,,,,,,,,
222038,,静岡県,沼津市,ﾊﾟﾙ博愛歯科,ﾊﾟﾙﾊｸｱｲｼｶ,,沼津市末広町,,,,962-0432,,,,,,,,,,,,,,
222038,,静岡県,沼津市,中野歯科医院,ﾅｶﾉｼｶｲｲﾝ,,沼津市下本町,,,,924-3535,,,,,,,,,,,,,,
222038,,静岡県,沼津市,KLTメモリアル歯科,ｹｲｴﾙﾃｨﾒﾓﾘｱﾙｼｶ,,沼津市大手町,,,,963-5841,,,,,,,,,,,,,,
222038,,静岡県,沼津市,鈴木歯科クリニック,ｽｽﾞｷｼｶｸﾘﾆｯｸ,,沼津市志下,,,,934-1111,,,,,,,,,,,,,,
222038,,静岡県,沼津市,きせがわ病院,ｷｾｶﾞﾜﾋﾞｮｳｲﾝ,病院,沼津市大岡１１５５,,,,055-952－8600,,055-954-0127,,,,,,,,,,,,
222038,,静岡県,沼津市,杉山病院,ｽｷﾞﾔﾏﾋﾞｮｳｲﾝ,病院,沼津市錦町３－５,,,,055-963-4114,,055-963-4113,,,,,,,,,,,,
222038,,静岡県,沼津市,聖隷沼津病院,ｾｲﾚｲﾇﾏﾂﾞﾋﾞｮｳｲﾝ,病院,沼津市本字松下七反田９０２－６,,,,055-952-1000,,055-952-1083,,,,,,,,,,,,
222038,,静岡県,沼津市,瀬尾記念慶友病院,ｾｵｷﾈﾝｹｲﾕｳﾋﾞｮｳｲﾝ,病院,沼津市下香貫島郷２７７３－１,,,,055-935-1511,,055-935-1333,,,,,,,,,,,,
222038,,静岡県,沼津市,西島病院,ﾆｼｼﾞﾏﾋﾞｮｳｲﾝ,病院,沼津市大岡２８３５－７,,,,055-922－8235,,055-922－5114,,,,,,,,,,,,
222038,,静岡県,沼津市,沼津市立病院,ﾇﾏﾂﾞｼﾘﾂﾋﾞｮｳｲﾝ,病院,沼津市東椎路字春ノ木５５０番地,,,,055-924-5100(代),,055-924-5175,,,2211160011,月火水木金,08:30,17:15,土日祝日及び12/28～1/3は通常診療不可。,救急対応のみ。,内科、脳神経内科、呼吸器内科、消化器内科、循環器内科、リウマチ科、小児科、外科、整形外科、形成外科、脳神経外科、小児外科、呼吸器外科、心臓血管外科、皮膚科、泌尿器科、産婦人科、眼科、耳鼻いんこう科、リハビリテーション科、放射線科、麻酔科、救急科、歯科口腔外科,387,https://www.numazu-hospital.shizuoka.jp,
222038,,静岡県,沼津市,沼津中央病院,ﾇﾏﾂﾞﾁｭｳｵｳﾋﾞｮｳｲﾝ,病院,沼津市中瀬町２４－１,,,,055-931－4100,,055-934－1698,,,,,,,,,,,,
222038,,静岡県,沼津市,沼津西病院,ﾇﾏﾂﾞﾆｼﾋﾞｮｳｲﾝ,病院,沼津市原２５０－８,,,,055-966－1181,,055-967－4423,,,,,,,,,,,,
222038,,静岡県,沼津市,沼津リハビリテーション病院,ﾇﾏﾂﾞﾘﾊﾋﾞﾘﾃｰｼｮﾝﾋﾞｮｳｲﾝ,病院,沼津市上香貫蔓陀ヶ原２５１０－２２,,,,055-931－1911,,055-934－3811,,,,,,,,,,,,
222038,,静岡県,沼津市,ふれあい沼津ホスピタル,ﾌﾚｱｲﾇﾏﾂﾞﾎｽﾋﾟﾀﾙ,病院,沼津市市道町８－６,,,,055-962－3530,,055-952－2378,,,,,,,,,,,,
222038,,静岡県,沼津市,あいあい眼科クリニック,ｱｲｱｲｶﾞﾝｶｸﾘﾆｯｸ,,沼津市原１７２１－１７,,,,055-967-7715,,055-967-7716,,,,,,,,,,,,
222038,,静岡県,沼津市,あい敬歯科医院,ｱｲｹｲｼｶｲｲﾝ,,沼津市高砂町7-10,,,,055-924-3799,,,,,,,,,,,,,,
222038,,静岡県,沼津市,i　DENTALCLINIC,ｱｲﾃﾞﾝﾀﾙｸﾘﾆｯｸ,,沼津市大手町3-4-12　,杉山ビル2F,,,055-951-7088,,055-951-7088,,,,,,,,,,,,
222038,,静岡県,沼津市,青木整形外科医院,ｱｵｷｾｲｹｲｹﾞｶｲｲﾝ,,沼津市高島町10-14,ｾﾝﾁｭﾘｰｽﾍﾟｰｽ沼津駅北口1階102,,,055-922－0521,,055-922－0350,,,,,,,,,,,,
222038,,静岡県,沼津市,青沼胃腸科クリニック,ｱｵﾇﾏｲﾁｮｳｶｸﾘﾆｯｸ,,沼津市大岡８３６－１８,,,,055-929－6205,,055-929－6215,,,,,,,,,,,,
222038,,静岡県,沼津市,浅井歯科医院,ｱｻｲｼｶｲｲﾝ,,沼津市浅間町251,,,,055-962-2157,,055-962-2157,,,,,,,,,,,,
222038,,静岡県,沼津市,あさい歯科クリニック,ｱｻｲｼｶｸﾘﾆｯｸ,,沼津市錦町648-18,,,,055-963-5226,,055-954-2007,,,,,,,,,,,,
222038,,静岡県,沼津市,旭医院,ｱｻﾋｲｲﾝ,,沼津市原２８５－１,,,,055-966-0031,,055-966-0908,,,,,,,,,,,,
222038,,静岡県,沼津市,旭歯科医院,ｱｻﾋｼｶｲｲﾝ,,沼津市末広町67,,,,055-962-2521,,055-963-5073,,,,,,,,,,,,
222038,,静岡県,沼津市,あさひデンタルクリニック,ｱｻﾋﾃﾞﾝﾀﾙｸﾘﾆｯｸ,,沼津市沼北町2-11-18,,,,055-941-8148,,055-941-8149,,,,,,,,,,,,
222038,,静岡県,沼津市,愛鷹クリニック,ｱｼﾀｶｸﾘﾆｯｸ,,沼津市今沢字西畑３７２－５,,,,055-967-3711,,055-967-3727,,,,,,,,,,,,
222038,,静岡県,沼津市,あしたか歯科医院,ｱｼﾀｶｼｶｲｲﾝ,,沼津市西椎路487-1,,,,055-939-8070,,055-939-8077,,,,,,,,,,,,
222038,,静岡県,沼津市,あしたか太陽の丘診療所,ｱｼﾀｶﾀｲﾖｳﾉｵｶｼﾝﾘｮｳｼﾞｮ,,沼津市宮本５－２,,,,055-923-7850,,055-923-2518,,,,,,,,,,,,
222038,,静岡県,沼津市,東医院,ｱｽﾞﾏｲｲﾝ,,沼津市高沢町６－８,,,,055-921-5520,,055-921-5519,,,,,,,,,,,,
222038,,静岡県,沼津市,あそうクリニック,ｱｿｳｸﾘﾆｯｸ,,沼津市筒井町１１－１,,,,055-929-7575,,055-929-7733,,,,,,,,,,,,
222038,,静岡県,沼津市,アップル歯科医院,ｱｯﾌﾟﾙｼｶｲｲﾝ,,沼津市新宿町8-3,,,,055-923-8050,,055-923-8050,,,,,,,,,,,,
222038,,静岡県,沼津市,あめみや内科,ｱﾒﾐﾔﾅｲｶ,,沼津市吉田町１７－２８,,,,055-935－1159,,055-935－1160,,,,,,,,,,,,
222038,,静岡県,沼津市,あん歯科クリニック,ｱﾝｼｶｸﾘﾆｯｸ,,沼津市下香貫樋ノ口1718-8,,,,055-957-7878,,055-957-7878,,,,,,,,,,,,
222038,,静岡県,沼津市,飯島歯科医院,ｲｲｼﾞﾏｼｶｲｲﾝ,,沼津市五月町5-11,,,,055-921-8150,,055-921-8150,,,,,,,,,,,,
222038,,静岡県,沼津市,五十嵐クリニック,ｲｶﾞﾗｼｸﾘﾆｯｸ,,沼津市志下１６１－１,,,,055-934－6700,,055-934－6711,,,,,,,,,,,,
222038,,静岡県,沼津市,いくこ歯科医院,ｲｸｺｼｶｲｲﾝ,,沼津市原655-15,,,,055-968-4618,,055-968-4618,,,,,,,,,,,,
222038,,静岡県,沼津市,池田歯科医院,ｲｹﾀﾞｼｶｲｲﾝ,,沼津市北高島町13-30,,,,055-929-2000,,055-929-2001,,,,,,,,,,,,
222038,,静岡県,沼津市,石田歯科医院,ｲｼﾀﾞｼｶｲｲﾝ,,沼津市岡一色堤下128-21,,,,055-922-3990,,055-922-4885,,,,,,,,,,,,
222038,,静岡県,沼津市,石原矯正歯科,ｲｼﾊﾗｷｮｳｾｲｼｶ,,沼津市米山町2-7-2F,,,,055-925-0045,,055-925-0046,,,,,,,,,,,,
222038,,静岡県,沼津市,いしわた歯科医院,ｲｼﾜﾀｼｶｲｲﾝ,,沼津市大手町4-3-40,,,,055-962-2124,,055-962-2124,,,,,,,,,,,,
222038,,静岡県,沼津市,石渡歯科クリニック,ｲｼﾜﾀｼｶｸﾘﾆｯｸ,,沼津市東椎路８８－１１,,,,055-923-4858,,055-923-4858,,,,,,,,,,,,
222038,,静岡県,沼津市,井関マタニティクリニック,ｲｾｷﾏﾀﾆﾃｨｸﾘﾆｯｸ,,沼津市八幡町１１５,,,,055-952－4103,,055-952－4100,,,,,,,,,,,,
222038,,静岡県,沼津市,磯部歯科医院,ｲｿﾍﾞｼｶｲｲﾝ,,沼津市市道町4-14,,,,055-951-1521,,055-962-5305,,,,,,,,,,,,
222038,,静岡県,沼津市,一番館眼科クリニック,ｲﾁﾊﾞﾝｶﾝｶﾞﾝｶｸﾘﾆｯｸ,,沼津市大手町１－２－１,フォーラム一番館４F,,,055-963-5275,,055-963-5275,,,,,,,,,,,,
222038,,静岡県,沼津市,伊東歯科医院,ｲﾄｳｼｶｲｲﾝ,,沼津市大塚141-1,,,,055-967-2525,,055-967-2525,,,,,,,,,,,,
222038,,静岡県,沼津市,いながきレディースクリニック,ｲﾅｶﾞｷﾚﾃﾞｰｽｸﾘﾆｯｸ,,沼津市宮前町１２－１１,,,,055-926-1709,,055-926-1717,,,,,,,,,,,,
222038,,静岡県,沼津市,稲玉歯科医院,ｲﾅﾀﾏｼｶｲｲﾝ,,沼津市大岡1881-3,,,,055-923-4735,,055-926-5919,,,,,,,,,,,,
222038,,静岡県,沼津市,今井医院,ｲﾏｲｲｲﾝ,,沼津市五月町７－１８,,,,055-921－3211,,055-922－6160,,,,,,,,,,,,
222038,,静岡県,沼津市,岩井医院,ｲﾜｲｲｲﾝ,,沼津市西浦古宇１０７９－１,,,,055-942－2012,,055-942－2684,,,,,,,,,,,,
222038,,静岡県,沼津市,岩端医院,ｲﾜﾊﾀｲｲﾝ,,沼津市大手町３－２－１９,,,,055-962－1368,,055-962－1378,,,,,,,,,,,,
222038,,静岡県,沼津市,岩渕内科医院,ｲﾜﾌﾞﾁﾅｲｶｲｲﾝ,,沼津市添地町１７７,,,,055-951-4579,,055-963-3912,,,,,,,,,,,,
222038,,静岡県,沼津市,ウエダ歯科,ｳｴﾀﾞｼｶ,,沼津市平町15－10,,,,055-963-7070,,055-952-6606,,,,,,,,,,,,
