都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考
222038,0000000001,静岡県,沼津市,沼津駅北口,ヌマヅエキキタグチ,Numazu Station North Exit,静岡県沼津市大手町１丁目1-1,,35.103546,138.860299,沼津市,055-934-4747,,NUMAZU_FREE_Wi-Fi,駅北トイレ付近,www.city.numazu.shizuoka.jp/kankou/wifi/index.htm,認証１回あたり15分の接続が可能。１日当たり４回（１日最大60分）の接続が可能。
222038,0000000002,静岡県,沼津市,沼津駅南口観光案内所,ヌマヅエキミナミグチカンコウアンナイジョ,Numazu Station South Exit Tourist Inhormation Center.,静岡県沼津市大手町１丁目1-1,,35.102614,138.859624,沼津市,055-934-4747,,NUMAZU_FREE_Wi-Fi,沼津駅観光案内所,www.city.numazu.shizuoka.jp/kankou/wifi/index.htm,認証１回あたり15分の接続が可能。１日当たり４回（１日最大60分）の接続が可能。
222038,0000000003,静岡県,沼津市,さんさんホール,サンサンホール,Numazu Sansan Hall,静岡県沼津市大手町５丁目3-5-21,,35.100642,138.859334,沼津市,055-934-4747,,NUMAZU_FREE_Wi-Fi,さんさんホール内,www.city.numazu.shizuoka.jp/kankou/wifi/index.htm,認証１回あたり15分の接続が可能。１日当たり４回（１日最大60分）の接続が可能。
222038,0000000004,静岡県,沼津市,中央公園,チュウオウコウエン,Numazu Central Park,静岡県沼津市大手町４丁目185－4,,35.098813,138.85958,沼津市,055-934-4747,,NUMAZU_FREE_Wi-Fi,トイレ付近,www.city.numazu.shizuoka.jp/kankou/wifi/index.htm,認証１回あたり15分の接続が可能。１日当たり４回（１日最大60分）の接続が可能。
222038,0000000005,静岡県,沼津市,沼津市役所,ヌマヅシヤクショ,Numazu City Office,静岡県沼津市御幸町16-1,,35.095626,138.863404,沼津市,055-934-4747,,NUMAZU_FREE_Wi-Fi,玄関ピロティ、本館１階・２階,www.city.numazu.shizuoka.jp/kankou/wifi/index.htm,認証１回あたり15分の接続が可能。１日当たり４回（１日最大60分）の接続が可能。
222038,0000000006,静岡県,沼津市,沼津港新鮮館,ヌマヅコウシンセンカン,Numazu Minato Shinsenkan,静岡県沼津市千本港町128-1,,35.083618,138.857389,沼津市,055-934-4747,,NUMAZU_FREE_Wi-Fi,エントランス、トイレ付近,www.city.numazu.shizuoka.jp/kankou/wifi/index.htm,認証１回あたり15分の接続が可能。１日当たり４回（１日最大60分）の接続が可能。
222038,0000000007,静岡県,沼津市,御浜岬公園,ミハマザキコウエン,Cape Mihama Park,静岡県沼津市戸田御浜岬公園,,34.972488,138.763846,沼津市,055-934-4747,,NUMAZU_FREE_Wi-Fi,管理事務所,www.city.numazu.shizuoka.jp/kankou/wifi/index.htm,認証１回あたり15分の接続が可能。１日当たり４回（１日最大60分）の接続が可能。
222038,0000000008,静岡県,沼津市,三の浦総合案内所,サンノウラソウゴウアンナイジョ,Sannoura Information Center,静岡県沼津市内浦長浜83-12,,35.017716,138.893394,沼津市,055-934-4747,,NUMAZU_FREE_Wi-Fi,三の浦総合案内所,www.city.numazu.shizuoka.jp/kankou/wifi/index.htm,認証１回あたり15分の接続が可能。１日当たり４回（１日最大60分）の接続が可能。
222038,0000000009,静岡県,沼津市,沼津港水門展望施設「びゅうお」,ヌマヅコウスイモンテンボウシセツビュウオ,"Huge Water Gate named""View-o""at Numazu Port",静岡県沼津市千本1905-27,,35.081179,138.854715,沼津市,055-934-4747,,NUMAZU_FREE_Wi-Fi,２階展望室内,www.city.numazu.shizuoka.jp/kankou/wifi/index.htm,認証１回あたり15分の接続が可能。１日当たり４回（１日最大60分）の接続が可能。
222038,0000000010,静岡県,沼津市,戸田観光協会,ヘダカンコウキョウカイ,Heda Tourist Association,静岡県沼津市戸田289-12,,34.973091,138.77723,沼津市,055-934-4747,,NUMAZU_FREE_Wi-Fi,戸田観光協会,www.city.numazu.shizuoka.jp/kankou/wifi/index.htm,認証１回あたり15分の接続が可能。１日当たり４回（１日最大60分）の接続が可能。
222038,0000000011,静岡県,沼津市,御用邸記念公園,ゴヨウテイキネンコウエン,Numazu Villa Park of the Imperial Families,静岡県沼津市下香貫島郷2802-1,,35.072798,138.871471,沼津市,055-934-4747,,NUMAZU_FREE_Wi-Fi,事務所内（お土産売り場）,www.city.numazu.shizuoka.jp/kankou/wifi/index.htm,認証１回あたり15分の接続が可能。１日当たり４回（１日最大60分）の接続が可能。
