都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
222038,1,静岡県,沼津市,太刀　銘一,タチ　メイイチ,,,国宝,美術工芸品,佐野美術館,静岡県三島市中田町1-43,,35.114799,138.91629,,,,,,,1952/11/22,,,,,,,,,,,,
222038,2,静岡県,沼津市,松城家住宅７棟,マツシロケジュウタクナナトウ,,,重要文化財,建造物,沼津市戸田,静岡県沼津市戸田72,,34.975832,138.777725,,,,,,,2006/7/5,,,,,,,,,,,,
222038,3,静岡県,沼津市,紙本著色山王靈驗記,シホンチャクショクサンノウレイゲンキ,,,重要文化財,美術工芸品,東京国立博物館,東京都台東区上野公園13-9,,35.717556,139.775543,,,,,,,1950/8/29,,,,,,,,,,,,
222038,4,静岡県,沼津市,太刀　銘眞長　附絲巻太刀拵,タチ　メイサネナガ,,,重要文化財,美術工芸品,佐野美術館,静岡県三島市中田町1-43,,35.114799,138.91629,,,,,,,1954/3/20,,,,,,,,,,,,
222038,5,静岡県,沼津市,沈金獅子牡丹文長覆輪太刀拵,チンキンシシボタンモンナガフクリンタチコシラエ,,,重要文化財,美術工芸品,佐野美術館,静岡県三島市中田町1-43,,35.114799,138.91629,,,,,,,1954/3/20,,,,,,,,,,,,
222038,6,静岡県,沼津市,金銅聖観音像懸仏,コンドウショウカンノンゾウカケボトケ,,,重要文化財,美術工芸品,沼津市千本常盤町,,,,,,,,,,,1964/5/26,,,,,,,,,,,,
222038,7,静岡県,沼津市,宝物集巻第一　附原表紙,ホウブツシュウカンダイイチ　ツケタリ　ゲンヒョウシ　,,,重要文化財,美術工芸品,光長寺,静岡県沼津市岡宮1055,,35.127789,138.874512,,,,,,,1994/6/28,,,,,,,,,,,,
222038,8,静岡県,沼津市,短刀銘備中国住守次作　延文二年八月日,タントウメイビッチュウノクニノジュウモリツグサク　エンブンニネンハチガツヒ,,,重要文化財,美術工芸品,沼津市大岡,静岡県沼津市大岡,,,,,,,,,,1952/7/19,,,,,,,,,,,,
222038,9,静岡県,沼津市,沼津内浦・静浦及び周辺地域の漁撈用具,ヌマヅウチウラ・シズウラオヨビシュウヘンチイキノギョロウヨウグ,,,重要有形民俗文化財,,歴史民俗資料館,静岡県沼津市下香貫島郷2802-1(沼津御用邸記念公園内),,35.072107,138.87238,,,,,,,2010/3/11,,,,,,,,,,,,
222038,10,静岡県,沼津市,休場遺跡,ヤスミバイセキ,,,史跡,,沼津市宮本字元野ほか,静岡県沼津市足高441,,35.178799,138.842804,,,,,,,1979/1/24,,,,,,,,,,,,
