都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考
222054,0000000001,静岡県,熱海市,親水公園レインボーデッキ,シンスイコウエンレインボーデッキ,,熱海市渚町,,35.0938146,139.0749767,熱海市,0557-86-6000,6195,Free?Wi-Fi?ATAMI,親水公園レインボーデッキのうち、ワカガエルステーション北側,https://www.city.atami.lg.jp/kanko/kankoguide/1001799.html,
222054,0000000002,静岡県,熱海市,親水公園渚デッキ,シンスイコウエンナギサデッキ,,熱海市渚町,,35.093129,139.074876,熱海市,0557-86-6000,6195,Free?Wi-Fi?ATAMI,親水公園渚デッキのうちサンレモカフェ周辺,https://www.city.atami.lg.jp/kanko/kankoguide/1001799.html,
222054,0000000003,静岡県,熱海市,熱海駅前広場,アタミエキマエヒロバ,,熱海市田原本町,,35.10334948,139.0782436,熱海市,0557-86-6000,6195,Free?Wi-Fi?ATAMI,熱海駅前広場内の足湯付近,https://www.city.atami.lg.jp/kanko/kankoguide/1001799.html,
222054,0000000004,静岡県,熱海市,「サンビーチ（中央階段付近）」と「お宮の松」,サンビーチ　オミヤノマツ,,熱海市東海岸町,,35.09839199,139.0763145,熱海市,0557-86-6000,6195,Free?Wi-Fi?ATAMI,サンデッキ付近,https://www.city.atami.lg.jp/kanko/kankoguide/1001799.html,
222054,0000000005,静岡県,熱海市,長浜海浜公園,ナガハマカイヒンコウエン,,熱海市上多賀,,35.05678722,139.0698981,熱海市,0557-86-6000,6195,Free?Wi-Fi?ATAMI,うみえーる長浜付近,https://www.city.atami.lg.jp/kanko/kankoguide/1001799.html,
222054,0000000006,静岡県,熱海市,伊豆山神社,イズサンジンジャ,,熱海市伊豆山,,35.11534635,139.0829511,熱海市,0557-86-6000,6195,Free?Wi-Fi?ATAMI,伊豆山神社事務所付近,https://www.city.atami.lg.jp/kanko/kankoguide/1001799.html,
222054,0000000007,静岡県,熱海市,網代駅前,アジロエキマエ,,熱海市下多賀,,35.0438165,139.0817113,熱海市,0557-86-6000,6195,Free?Wi-Fi?ATAMI,網代温泉観光協会付近,https://www.city.atami.lg.jp/kanko/kankoguide/1001799.html,
222054,0000000008,静岡県,熱海市,起雲閣,キウンカク,,熱海市昭和町,,35.092625,139.07125,熱海市,0557-86-6000,6195,Free?Wi-Fi?ATAMI,起雲閣室内、日本庭園内,https://www.city.atami.lg.jp/kanko/kankoguide/1001799.html,
222054,0000000009,静岡県,熱海市,Shima Terrace初島,シマテラスハツシマ,,熱海市初島,,35.04263586,139.1698325,熱海市,0557-86-6000,6195,Free?Wi-Fi?ATAMI,Shima Terrace初島付近,https://www.city.atami.lg.jp/kanko/kankoguide/1001799.html,
222054,0000000010,静岡県,熱海市,熱海梅園,アタミバイエン,,熱海市梅園町,,35.098382,139.059087,熱海市,0557-86-6000,6195,Free?Wi-Fi?ATAMI,熱海梅園正面入り口、澤田政廣記念美術館付近、足湯付近,https://www.city.atami.lg.jp/kanko/kankoguide/1001799.html,
222054,0000000011,静岡県,熱海市,来宮駅前,キノミヤエキマエ,,熱海市福道町,,35.098343,139.065093,熱海市,0557-86-6000,6195,Free?Wi-Fi?ATAMI,来宮駅前,https://www.city.atami.lg.jp/kanko/kankoguide/1001799.html,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
