"NO_","施設名","住所","管理担当","想定収容人数","想定収容人数備考","マッチングレベル","世界_10進_X","世界_10進_Y"
"1","泉小・中学校","熱海市泉280","学校教育課","700","人（3㎡あたり1人）","地番・番地","139.08062010191338","35.135880566824575"
"2","伊豆山小学校","熱海市伊豆山７１１","学校教育課","900","人（3㎡あたり1人）","地番・番地","139.08409173638267","35.115811641359905"
"3","熱海中学校","熱海市桃山町7-7","学校教育課","1700","人（3㎡あたり1人）","地番（枝番まで）・号","139.07497117904444","35.106015568305942"
"4","桃山小学校","熱海市桃山町6-5","学校教育課","800","人（3㎡あたり1人）","地番（枝番まで）・号","139.07364175564615","35.106215109012034"
"5","第一小学校","熱海市西山町41-1","学校教育課","1600","人（3㎡あたり1人）","地番（枝番まで）・号","139.06714564222472","35.1016399686476"
"6","第二小学校","熱海市桜町3-20","学校教育課","1200","人（3㎡あたり1人）","地番（枝番まで）・号","139.06751022516022","35.088862125016455"
"7","西部コミュニティー防災センター","熱海市桜町16-43","危機管理課","50","人（3㎡あたり1人）","地番・番地","139.06476816548437","35.086516866332573"
"8","熱海高等学校","熱海市下多賀1484-22","県高校教育課","1700","人（3㎡あたり1人）","地番（枝番まで）・号","139.06557066153775","35.052783054742825"
"9","多賀小学校","熱海市下多賀920-1","学校教育課","1700","人（3㎡あたり1人）","地番（枝番まで）・号","139.06942017135438","35.048691285469054"
"10","多賀中学校","熱海市下多賀1549-1","学校教育課","1700","人（3㎡あたり1人）","地番（枝番まで）・号","139.06416279605546","35.04660812166555"
"11","網代小学校","熱海市網代195","学校教育課","950","人（3㎡あたり1人）","地番・番地","139.092606190295","35.04814286624746"
"12","初島小・中学校","熱海市初島219","学校教育課","260","人（3㎡あたり1人）","地番・番地","139.17072970853854","35.0421972459373"
