#LINK
#lang	ja
#attribution_name	mishimashi
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	Best_View_Point_in_Mishima
#download_from	http://linkdata.org/work/rdf1s1926i
#property	場所名	http://www.w3.org/2003/01/geo/wgs84_pos#long	http://www.w3.org/2003/01/geo/wgs84_pos#lat	http://xmlns.com/foaf/0.1/homepage
#object_type_xsd	string	float	float	string
#property_context	Assertion	Assertion	Assertion	Assertion
1	末広山	138.928447	35.157763	http://www.city.mishima.shizuoka.jp/ipn004635.html
BVP_02	山中城跡	138.992419	35.156396	http://www.city.mishima.shizuoka.jp/ipn004636.html
BVP_03	施行平	139.004921	35.171114	http://www.city.mishima.shizuoka.jp/ipn004637.html
BVP_04	中郷温水池	138.917309	35.107372	http://www.city.mishima.shizuoka.jp/ipn004638.html
BVP_05	向山古墳群	138.941157	35.106119	http://www.city.mishima.shizuoka.jp/ipn004639.html
BVP_06	新町橋	138.926011	35.121661	http://www.city.mishima.shizuoka.jp/ipn004640.html
BVP_07	新城橋	138.919035	35.076383	http://www.city.mishima.shizuoka.jp/ipn004641.html
BVP_08	坂公民館	138.962181	35.138478	http://www.city.mishima.shizuoka.jp/ipn004642.html
BVP_09	初音ヶ原	138.940519	35.127835	http://www.city.mishima.shizuoka.jp/ipn004599.html
BVP_10	東壱町田みどり野公園付近	138.923782	35.134398	http://www.city.mishima.shizuoka.jp/ipn004634.html
BVP_11	茶臼山	138.943877	35.147201	http://www.city.mishima.shizuoka.jp/ipn015746.html
BVP_12	佐野見晴台片平山公園	138.950056	35.165446	http://www.city.mishima.shizuoka.jp/ipn015746.html
BVP_13	三島青果市場	138.959325	35.135243	http://www.city.mishima.shizuoka.jp/ipn015746.html
