#LINK
#lang	ja
#attribution_url	https://www.city.mishima.shizuoka.jp/mishima_info/croquette/
#attribution_name	三島市
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	Mishima_croquette
#download_from	http://linkdata.org/work/rdf1s3692i
#property	店名	http://xmlns.com/foaf/0.1/homepage	住所	電話	http://www.w3.org/2003/01/geo/wgs84_pos#lat	http://www.w3.org/2003/01/geo/wgs84_pos#long
#object_type_xsd	string:ja	string	string:ja	string:ja	float	float
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
1	あじや		沼津市千本港町１２８－１	055-964-1400	35.081272	138.856262
2	あやみ屋	http://ayamiya.info/	沼津市新宿町３－２４	055-923-7660	35.106095	138.86045
3	㈱あれこれ屋「道の駅富士」		富士市五貫島字靖国６６９－１	0545-62-1118	35.126034	138.646131
4	伊豆の国パノラマパーク	http://www.panoramapark.co.jp/	伊豆の国市長岡２６０－１	055-948-1525	35.026711	138.927655
5	伊豆・三津シーパラダイス　海獣の国売店	http://www.seapara.jp/	沼津市内浦長浜３－１	055-943-2331	35.019084	138.896327
6	(株)いちやまマート　(12店舗)		山梨県中央市若宮５０－１	055-278-6006	35.611122	138.541992
7	㈱エイチアール横浜　駒門PA(下り)ハイウェイショップ		御殿場市駒門６０８－１	0550-87-0417	35.254955	138.892899
8	(有)大村精肉店	http://www.e-2929.com/	三島市大社町２－２７	055-972-2981	35.118908	138.919587
9	お食事処　源氏		三島市一番町１５－２２	055-975-0882	35.12545	138.912079
10	お食事処　松韻		三島市中田町１－１６	055-973-2678	35.115819	138.91551
11	御食事処　秀		神奈川県小田原市南鴨宮３－６－８	0465-38-1124	35.274666	139.179398
12	(株)割烹  呉竹	http://www.shizuoka-navichi.net/shop/shop.shtml?s=609	三島市本町６－３５	055-975-3210	35.119144	138.912979
13	㈲かなめ		三島市東大場１－１０－９（工場）函南町大竹５５－１　　　　　　　　　	055-978-0637	35.108324	138.950057
14	カフェ＆ベーカリー　グルッペ	http://gruppe-ishiwata.mawe.jp/	三島市本町２－２７　※郵送は函南町上沢251-1石渡食品(有)	055-973-1153	35.119417	138.914437
15	カメヤ三島駅前店	http://www.kameya-food.co.jp/main.html	三島市一番町１５－１８	055-943-7171	35.125455	138.912506
