#LINK
#lang	ja
#attribution_url	http://www.city.mishima.shizuoka.jp
#attribution_name	三島市
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	mishima_aed
#download_from	http://linkdata.org/work/rdf1s1732i
#property	市区町村コード	都道府県名	市区町村名	名称	名称_カナ	区分	住所	方書	http://www.w3.org/2003/01/geo/wgs84_pos#long	http://www.w3.org/2003/01/geo/wgs84_pos#lat	設置位置	電話番号	法人番号	団体名	利用可能曜日	開始時間	終了時間	利用可能日時特記事項	URL	備考
#object_type_xsd	string	string	string	string	string	string	string	string	float	float	string	string	string	string	string	string	string	string	string	string
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
msm_aed_01	222062	静岡県	三島市	MSビル（（株）三島新聞堂）	MSビル（カブミシマシンブンドウ）	その他	静岡県三島市一番町１５－２３		138.9121966	35.125182	MSビル南側入口	055-971-0003				〔時間〕  平日1:00 ~ 18:00 日曜･祝日  1:00 ~ 11:00新聞休刊日 8:00 ~ 18:00				
msm_aed_02	222062	静岡県	三島市	あかなすの里	アカナスノサト	福祉施設	静岡県三島市玉川４２５－１		138.913933	35.105506	玄関ホール	055-981-4816				〔時間〕 8:30	17:30			
msm_aed_03	222062	静岡県	三島市	浅井歯科診療所	アサイシカシンリョウジョ	医療機関	静岡県三島市本町２－９		138.914427	35.12029	診療室	055-975-0527				〔時間〕月･火･木･金8:30 ~ 12:00,13:30~18:00/土 8:30~12:00､13:30~16:30				
msm_aed_04	222062	静岡県	三島市	芦ノ湖カントリークラブ	アシノコカントリークラブ	その他	静岡県三島市字南原菅４７０８		139.004881	35.178825	総務事務所	055-985-2122				〔時間〕 7:00	17:00			
msm_aed_05	222062	静岡県	三島市	アテナ・デンタルメンテナンス	アテナ・デンタルメンテナンス	その他	静岡県三島市新谷１８－４		138.9192019	35.1032532	診療室	055-975-6480				〔時間〕 9:00	18:30			
msm_aed_06	222062	静岡県	三島市	伊豆箱根バス（株）　三島営業所	イズハコネバスカブ　ミシマエイギョウショ	その他	静岡県三島市大場３００番地		138.9383311	35.0948881	バス車両内	055-977-1212				不定期				
msm_aed_07	222062	静岡県	三島市	イトーヨーカドー三島店	イトーヨーカドーミシマテン	商店等	静岡県三島市中田町９－３０		138.919212	35.113441	1階防災ｾﾝﾀｰ／１階サービスカウンター	055-981-6111				〔時間〕 10:00	21:00			
msm_aed_08	222062	静岡県	三島市	ウエルシア薬局　三島徳倉店	ウエルシアヤッキョク　ミシマトクラテン	商店等	静岡県三島市徳倉１－１６－３９		138.912125	35.14188	店内	055-980-4838				〔時間〕 9:00	1899-12-31 00:00:00			
msm_aed_09	222062	静岡県	三島市	梅の実保育園	ウメノミホイクエン	保育園	静岡県三島市梅名47-1		138.9284455	35.0980934		055-977-6065								
msm_aed_10	222062	静岡県	三島市	エミック（株）	エミックカブ	その他	静岡県三島市平成台11番地		138.9415597	35.1531439	正面玄関	055-988-8411				〔時間〕 8:30	1899-12-31 17:20:00			
msm_aed_11	222062	静岡県	三島市	遠藤歯科医院	エンドウシカイイン	医療機関	静岡県三島市佐野１９１		138.922441	35.168555	診察室	055-992-1139				〔時間〕 9:00 ~ 13:00, 15:00~19:00				
msm_aed_12	222062	静岡県	三島市	おのうえ接骨院	オノウエセッコツイン	医療機関	静岡県三島市加屋町４－３６		138.908247	35.123204	受け付けカウンター	055-976-8581				〔時間〕8:30	1899-12-31 20:00:00			
msm_aed_13	222062	静岡県	三島市	小野建設（株）	オノケンセツカブ	その他	静岡県三島市谷田６０－３		138.9288172	35.1185221	2階事務室	055-971-2020				〔時間〕8:00	1899-12-31 17:00:00			
msm_aed_14	222062	静岡県	三島市	オムロン（株）　三島事業所	オムロンカブ　ミシマジギョウショ	その他	静岡県三島市松本６６		138.919158	35.089908	西門警備室	055-977-9000				〔時間〕 9:00	17:30			
msm_aed_15	222062	静岡県	三島市	カーブス三島大社	カーブスミシマタイシャ	その他	静岡県三島市大社町１８－７小林ビル		138.919592	35.119511	受け付けカウンター	055-988-8480				〔時間〕10:00	1899-12-31 19:00:00			
msm_aed_16	222062	静岡県	三島市	カーブス三島徳倉	カーブスミシマトクラ	その他	静岡県三島市徳倉１丁目２１－７		138.912238	35.140437	受け付けカウンター	055-988-9095				〔時間〕10:00	1899-12-31 19:00:00			
msm_aed_17	222062	静岡県	三島市	介護老人保健施設　ラ・サンテふよう	カイゴロウジンホケンシセツ　ラ・サンテフヨウ	福祉施設	静岡県三島市佐野１２０５－３		138.916283	35.157846	受付カウンター横	055-989-7000				〔時間〕 8:30	17:30			
msm_aed_18	222062	静岡県	三島市	がくとう整形外科クリニック	ガクトウセイケイゲカクリニック	医療機関	静岡県三島市南町８－８		138.918504	35.120514	１階外来	055-975-0875				〔時間〕 9:30	18:00			
