#LINK
#lang	ja
#attribution_url	http://www.city.mishima.shizuoka.jp
#attribution_name	三島市
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	mishima_emergency
#download_from	http://linkdata.org/work/rdf1s1763i
#property	http://www.w3.org/2000/01/rdf-schema#label	address	telephone	note	http://www.w3.org/2003/01/geo/wgs84_pos#long	http://www.w3.org/2003/01/geo/wgs84_pos#lat
#object_type_xsd	string:ja	string:ja	string:ja	string:ja	float	float
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
1	東小学校	三島市東町10-1	975-0110	大社町・東本町１丁目・東本町２丁目・日の出町・東町・南二日町（伊豆箱根線路東側）・大宮町２丁目・川原ヶ谷・雪沢	138.924638	35.117984
2	西小学校	三島市緑町7-7	975-0416	加屋町・清住町・三好町・西本町・栄町・西若町・緑町・南町・広小路町・泉町・寿町・本町大中島・本町小中島	138.908939	35.116473
3	南小学校	三島市富田町6-1	975-0225	南本町御殿・南本町高台・北田町・中田町北・中田町南・南田町・富田町・南本町新御殿・南二日町（伊豆箱根線路西側）	138.917785	35.109781
4	北小学校	三島市文教町1-4-8	986-0512	文教町１丁目・合同宿舎文教住宅・幸町・幸原町・サンステージ壱町田	138.913257	35.131202
5	錦田小学校	三島市谷田966	975-0054	小山中島・小山・谷田・御門・竹倉・玉沢・谷田城の内・東富士見・西富士見・並木・柳郷地・ヴァンヴェール遺伝坂・柳郷地市営住宅・市営谷田住宅	138.936399	35.11305
6	向山小学校	三島市谷田1946	971-0707	夏梅木・中・錦が丘・北沢・サンステージ向山王の郷・サンステージ向山はにまるタウン	138.938459	35.10455
7	山田小学校	三島市川原ヶ谷812	973-0131	若松町・西旭ヶ丘・青葉台・山田・旭ヶ丘・山田住宅	138.934125	35.133282
8	坂小学校	三島市市山新田163-2	971-1231	台崎・元山中・市山新田・三ツ谷・笹原・山中・箱根坂・玉沢(奥山）	138.961682	35.13676
9	徳倉小学校	三島市徳倉4-1-45	986-0180	徳倉第１・徳倉第２・徳倉第３・徳倉第４	138.913182	35.142292
10	沢地小学校	三島市沢地127-1	986-9433	富士ビレッジ・沢地・千枚原・光ヶ丘１丁目・光ヶ丘３丁目・光ヶ丘県営住宅・光ヶ丘市営住宅・富士見台	138.926389	35.140502
11	北上小学校	三島市徳倉844-1	987-4646	萩・徳倉第５・徳倉第６・エンゼルハイム芙蓉台	138.913429	35.149324
12	佐野小学校	三島市佐野238	993-3310	佐野・見晴台	138.924083	35.168559
13	中郷小学校	三島市梅名453	977-1052	梅名・中島・八反畑・鶴喰	138.927516	35.094929
14	長伏小学校	三島市長伏226-5	977-2424	長伏・御園　※御園は風水害時、中郷西中学校	138.914598	35.085378
15	錦田中学校	三島市谷田1505	975-1093	押切・桜ヶ丘・遺伝研・愛宕・緑ヶ丘・塚原・阿部野・塚の台・小山台・塚原台・シャリエ三島松が丘・松が丘･塚原下原	138.938352	35.1218
16	南中学校	三島市富田町6-18	975-0980	青木・新谷・玉川・平田・藤代町・モナーク三島・ウィスティリア三島青木	138.917956	35.108833
17	北中学校	三島市文教町2-32-60	986-0684	文教町西・加茂川町１区・加茂川町２区・シャルマンコーポ・壱町田１丁目・壱町田２丁目・県営壱町田やまがみ団地・東壱町田・シャリエ三島壱町田・かわせみタウン壱町田・マルシオン.マルジュ壱町田	138.915306	35.130658
18	北上中学校	三島市徳倉767-2	986-8766	芙蓉台	138.917393	35.152898
19	中郷中学校	三島市大場250-1	977-1144	大場（伊豆箱根線路西側）・多呂　※風水害時は三島南高等学校	138.93597	35.093867
20	中郷西中学校	三島市梅名854-1	977-4707	松本・安久	138.922677	35.089759
21	山田中学校	三島市川原ヶ谷842-4	981-2474	加茂・市営加茂住宅・小沢・初音台・三恵台・初音	138.936034	35.13476
22	三島北高等学校	三島市文教町1-3-18	986-0107	芝本町・一番町・中央町・中央町２区・文教町２丁目・大宮町１丁目・大宮町３丁目・文教町東岩崎	138.913139	35.129596
23	三島南高等学校	三島市大場608	977-8333	大場（伊豆箱根線路東側）・三島パサディナ・東大場	138.944502	35.095241
24	三島長陵高等学校	三島市文教町1-3-93	986-2000	JR東海新幹線滞留旅客	138.911519	35.128723
