#LINK
#lang	ja
#attribution_url	https://www.city.mishima.shizuoka.jp/
#attribution_name	三島市
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	mishima_medicalInstitute
#download_from	http://linkdata.org/work/rdf1s7132i
#property	施設名	施設名（英語）	カテゴリ	電話番号	FAX番号	郵便番号	都道府県名	市区町村名	行政区名	住所	緯度	経度
#object_type_xsd	string:ja	string:en	string:ja	string	string	string	string:ja	string:ja	string:ja	string:ja	float	float
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
1	井深小児科医院		診療所	055-972-3006		411-0845	静岡県	三島市		加屋町3-15	35.116381	138.904835
2	みうら歯科医院		歯科診療所	055-973-1211		411-0018	静岡県	三島市		初音台25-1	35.126999	138.934342
3	山口医院		診療所	055-975-0559		411-0846	静岡県	三島市		栄町1-23	35.119182	138.908799
4	三島中央病院		病院	055-971-4133		411-0848	静岡県	三島市		緑町1-3	35.117339	138.912423
5	広小路クリニック　		診療所	055-972-2231		411-0856	静岡県	三島市		広小路町7-3	35.119226	138.909832
6	窪田医院		診療所	055-975-7984		411-0037	静岡県	三島市		泉町1-43	35.120841	138.912334
7	宮内まこと記念クリニック		診療所	055-975-0675		411-0037	静岡県	三島市		泉町9-44	35.121583	138.90951
8	鈴木整形外科医院　		診療所	055-971-3653		411-0037	静岡県	三島市		泉町12-35	35.11999	138.910258
9	安達産婦人科クリニック　		診療所	055-976-0341		411-0039	静岡県	三島市		寿町2-26	35.124303	138.909046
10	中川内科医院　		診療所	055-973-1370		411-0039	静岡県	三島市		寿町3-53松井ビル3階	35.125244	138.909639
11	増田形成外科皮膚科医院		診療所	055-976-1232		411-0847	静岡県	三島市		西本町2-1	35.118425	138.909306
12	塚田医院		診療所	055-975-5609		411-0037	静岡県	三島市		泉町5-3	35.121819	138.911219
13	芹沢病院　		病院	055-986-1075		411-0031	静岡県	三島市		幸原町2-3-1	35.138017	138.912318
14	とくら山口医院		診療所	055-986-8690		411-0044	静岡県	三島市		徳倉2-4-13	35.136646	138.919992
15	桜井内科クリニック　		診療所	055-988-2200		411-0044	静岡県	三島市		徳倉4-12-1	35.143514	138.911205
16	三島共立病院　		病院	055-973-0882		411-0817	静岡県	三島市		八反畑120-7	35.099248	138.923171
17	中島クリニック　		診療所	055-977-8822		411-0823	静岡県	三島市		御園471-22	35.079039	138.922071
18	北上クリニック　		診療所	055-989-1334		411-0045	静岡県	三島市		萩283-4	35.150354	138.908649
19	小児科別所医院		診療所	055-987-0003		411-0044	静岡県	三島市		徳倉838-38	35.150925	138.912023
20	がくとう整形外科クリニック		診療所	055-975-0785		411-0842	静岡県	三島市		南町8-8	35.11359	138.912334
21	坂本胃腸・内科医院		診療所	055-971-2277		411-0035	静岡県	三島市		大宮町3-16-5	35.126121	138.91654
22	かまたクリニック　		診療所	055-988-2488		411-0033	静岡県	三島市		文教町1-1-35	35.128245	138.914832
23	辻林内科		診療所	055-981-3211		411-0023	静岡県	三島市		加茂川町22-14	35.126078	138.921213
24	桐ノ木クリニック		診療所	055-987-2626		411-0024	静岡県	三島市		若松町4254-1	35.13188	138.928296
25	皮フ科玉森クリニック		診療所	055-975-3345		411-0831	静岡県	三島市		東本町1-2-17	35.116289	138.920016
26	田内内科医院		診療所	055-972-2625		411-0831	静岡県	三島市		東本町1-16-30	35.117162	138.920515
27	石井内科		診療所	055-975-0448		411-0831	静岡県	三島市		東本町2-1-95	35.112864	138.920113
28	こまきウイメンズクリニック		診療所	055-972-1057		411-0038	静岡県	三島市		西若町7-45	35.117407	138.923281
29	国東産婦人科内科医院		診療所	055-975-0906		411-0841	静岡県	三島市		南本町13-36	35.113474	138.914402
30	芝本町クリニック　		診療所	055-983-4567		411-0857	静岡県	三島市		芝本町11-15	35.1211	138.913287
31	田中産婦人科医院		診療所	055-971-3541		411-0858	静岡県	三島市		中央町6-23	35.121299	138.9169
32	川崎内科医院		診療所	055-972-8811		411-0854	静岡県	三島市		北田町4-14	35.117245	138.918187
33	岡本内科医院		診療所	055-975-7798		411-0801	静岡県	三島市		谷田小山中島80-2	35.118728	138.930311
34	谷田池田医院　		診療所	055-975-1042		411-0801	静岡県	三島市		谷田190-1	35.114226	138.928988
35	三島総合病院		病院	055-975-8841		411-0801	静岡県	三島市		谷田字藤久保2276	35.123958	138.951884
36	三島東海病院		病院	055-972-9111		411-0022	静岡県	三島市		川原ｹ谷264-12	35.123245	138.933572
37	金木内科・消化器科クリニック		診療所	055-971-3211		411-0022	静岡県	三島市		川原ｹ谷177-1	35.121973	138.928326
38	こも池歯科クリニック		歯科診療所	055-975-8214		411-0035	静岡県	三島市		大宮町3-1-11	35.124691	138.915835
39	山口歯科医院		歯科診療所	055-976-5557		411-0846	静岡県	三島市		栄町1-24	35.118917	138.908689
40	山本歯科医院		歯科診療所	055-975-0119		411-0855	静岡県	三島市		本町5-6	35.120431	138.913222
41	後藤医院		診療所	055-977-3115		411-0816	静岡県	三島市		梅名442-3	35.093727	138.925413
42	三愛医院　		診療所	055-977-3770		411-0814	静岡県	三島市		中島67	35.096755	138.933215
43	斉藤医院　		診療所	055-977-1413		411-0803	静岡県	三島市		大場82-2	35.091912	138.937453
44	飯塚クリニック		診療所	055-984-4110		411-0803	静岡県	三島市		大場402-2	35.093718	138.941238
45	瀬川小児科アレルギー科医院		診療所	055-975-1087		411-0039	静岡県	三島市		寿町7-31	35.12274	138.907784
46	日本大学歯学部三島歯科医療センター		歯科診療所	055-980-1991		411-0033	静岡県	三島市		文教町1-9-18 日本大学国際関係学部三島駅北口校舎1階	35.127831	138.911382
47	ないとう歯科医院		歯科診療所	055-988-9087		411-0044	静岡県	三島市		徳倉876-26	35.149109	138.910468
48	道上医院		診療所	055-976-8111		411-0834	静岡県	三島市		新谷30-4	35.102764	138.920652
49	いとうクリニック		診療所	055-973-7800		411-0835	静岡県	三島市		玉川415-2	35.105759	138.915655
50	岡田じんクリニック　		診療所	055-977-8915		411-0824	静岡県	三島市		長伏224-5	35.085483	138.916505
51	吉村眼科内科医院		診療所	055-984-1333		411-0824	静岡県	三島市		長伏224-7	35.086045	138.916114
52	小山消化器・内科		診療所	055-977-2121		411-0824	静岡県	三島市		長伏226-1	35.085806	138.915628
53	高野内科循環器科クリニック		診療所	055-977-0030		411-0824	静岡県	三島市		長伏226-1	35.085731	138.915668
54	光ヶ丘小児科		診療所	055-987-2200		411-0029	静岡県	三島市		光ヶ丘2-19	35.135852	138.926429
