#LINK
#lang	ja
#attribution_url	http://www.city.mishima.shizuoka.jp
#attribution_name	三島市
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	mishima_public_facilities
#download_from	http://linkdata.org/work/rdf1s1759i
#property	http://www.w3.org/2000/01/rdf-schema#label	address	zip_code	telephone	URL	http://www.w3.org/2003/01/geo/wgs84_pos#long	http://www.w3.org/2003/01/geo/wgs84_pos#lat
#object_type_xsd	string	string	string	string	string	float	float
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
msm_pfaci_001	三島市役所本庁舎	三島市北田町4-47	411-8666	055-975-3111	https://www.city.mishima.shizuoka.jp/ipn003128.html	138.918487	35.118496
msm_pfaci_002	三島市役所中央町別館	三島市中央町5-5	411-0858	055-975-3111	https://www.city.mishima.shizuoka.jp/ipn000294.html	138.916339	35.119944
msm_pfaci_003	三島市役所大社町別館	三島市大社町1-10	411-0853	055-975-3111	https://www.city.mishima.shizuoka.jp/ipn000283.html	138.919255	35.119264
msm_pfaci_004	三島市民生涯学習センター（いきいきホール）	三島市大宮町1丁目8-38	411-0035	055-983-0888	https://www.city.mishima.shizuoka.jp/syougai/	138.915526	35.123296
msm_pfaci_005	中郷公民館	三島市梅名353-1	411-0816	055-982-5100	https://www.city.mishima.shizuoka.jp/ipn001409.html	138.924493	35.091751
msm_pfaci_006	北上公民館	三島市萩312	411-0045	055-987-5950	https://www.city.mishima.shizuoka.jp/ipn003712.html	138.909333	35.150683
msm_pfaci_007	錦田公民館	三島市谷田（並木）973-1	411-0801	055-973-0308	https://www.city.mishima.shizuoka.jp/ipn001411.html	138.936474	35.113809
msm_pfaci_008	坂公民館	三島市三ツ谷新田125	411-0013	055-972-6676	https://www.city.mishima.shizuoka.jp/ipn024169.html	138.963382	35.137098
msm_pfaci_009	市立図書館	三島市大宮町1丁目8-38	411-0035	055-983-0880	https://www.city.mishima.shizuoka.jp/ipn000281.html	138.915499	35.123287
msm_pfaci_010	市立図書館中郷分館	三島市梅名353-1	411-0816	055-982-5102	https://www.city.mishima.shizuoka.jp/ipn000219.html	138.924509	35.091754
msm_pfaci_011	三島市郷土資料館	三島市一番町19-3	411-0036	055-971-8228	https://www.city.mishima.shizuoka.jp/kyoudo/index.html	138.910932	35.124891
msm_pfaci_012	市民体育館	三島市文教町2丁目10-57	411-0033	055-987-7570	https://www.city.mishima.shizuoka.jp/ipn000183.html	138.918152	35.129618
msm_pfaci_013	市民温水プール（すいすいみしま）	三島市文教町2丁目10-57	411-0033	055-980-5757	https://www.city.mishima.shizuoka.jp/ipn000185.html	138.918152	35.129618
msm_pfaci_014	三島市民文化会館（ゆうゆうホール）	三島市一番町20-5	411-0036	055-976-4455	https://www.city.mishima.shizuoka.jp/ipn000287.html	138.912981	35.123722
msm_pfaci_015	箱根の里	三島市字北原菅4710-1	411-0000	055-985-2131	https://www.city.mishima.shizuoka.jp/ipn014328.html	138.910932	35.124891
msm_pfaci_016	楽寿園（三島市立公園）	三島市一番町19-3	411-0036	055-975-2570	https://www.city.mishima.shizuoka.jp/rakujyu/index.html	138.910921	35.124886
msm_pfaci_017	三島市立保健センター	三島市南二日町8-35	411-0832	055-973-3700	https://www.city.mishima.shizuoka.jp/ipn000233.html	138.924686	35.110904
msm_pfaci_018	三島市清掃センター	三島市字賀茂之洞4703-94	411-0000	055-971-8993	https://www.city.mishima.shizuoka.jp/ipn000314.html	138.939969	35.14299
msm_pfaci_019	三島市浄化センター	三島市長伏309	411-0824	•055-977-4835	https://www.city.mishima.shizuoka.jp/sosiki_shousai05097070000.html	138.912957	35.08423
msm_pfaci_020	三島市本町子育て支援センター	三島市本町3-29  本町タワービル4階	411-0855	055-991-6100	https://www.city.mishima.shizuoka.jp/ipn001420.html	138.913549	35.119457
msm_pfaci_021	養護老人ホーム佐野楽寿寮	三島市谷田（小山押切）1260-2	411-0801	055-975-8274		138.932143	35.119904
msm_pfaci_022	老人福祉センター（いきいきシニア・ふれあいセンター）	三島市川原ヶ谷839-1	411-0022	055-971-0462		138.935085	35.133994
msm_pfaci_023	障がい者支援センター佐野あゆみの里	三島市新谷175	411-0834	055-971-1354	https://www.city.mishima.shizuoka.jp/ipn000210.html	138.917726	35.1064
msm_pfaci_024	市営中央駐車場	三島市中央町1-8	411-0858	055-973-6677		138.916374	35.118923
msm_pfaci_025	富士山南東消防本部	三島市南田町4‐40	411-0837	055-972-5800	https://www.city.mishima.shizuoka.jp/ipn025657.html	138.916849	35.111277
msm_pfaci_026	富士山南東消防本部 三島市消防署	三島市南田町4-40	411-0837	055-972-5800	https://www.city.mishima.shizuoka.jp/ipn025658.html	138.916865	35.11126
msm_pfaci_027	富士山南東消防本部 錦田分遣所	三島市谷田294-1	411-0801	055-971-6044	https://www.city.mishima.shizuoka.jp/ipn000226.html	138.933544	35.112549
msm_pfaci_028	富士山南東消防本部 中郷分遣所	三島市中島85-14	411-0814	055-977-1264	https://www.city.mishima.shizuoka.jp/ipn000222.html	138.932285	35.098394
msm_pfaci_029	富士山南東消防本部 北分遣所	三島市文教町2丁目1-32	411-0033	055-986-7361	https://www.city.mishima.shizuoka.jp/ipn000178.html	138.915572	35.128695
msm_pfaci_030	西地区コミュニティ防災センター	三島市緑町6-6	411-0848		https://www.city.mishima.shizuoka.jp/ipn000269.html	138.909844	35.116701
msm_pfaci_031	北地区コミュニティ防災センター	三島市文教町2丁目1-32	411-0033		https://www.city.mishima.shizuoka.jp/ipn000177.html	138.915572	35.128695
msm_pfaci_032	東地区コミュニティ防災センター	三島市東本町2丁目10-5	411-0831		https://www.city.mishima.shizuoka.jp/ipn000259.html	138.922189	35.11474
msm_pfaci_033	南地区コミュニティ防災センター	三島市中田町11-3	411-0838		https://www.city.mishima.shizuoka.jp/ipn000230.html	138.918082	35.11517
msm_pfaci_034	エコセンター（旧三島測候所庁舎）	三島市東本町2丁目5-24	411-0831	055-973-9090	https://www.city.mishima.shizuoka.jp/ipn005828.html	138.925448	35.114169
msm_pfaci_035	三島市民活動センター	三島市本町3-29	411-0855	055-983-2693	https://www.city.mishima.shizuoka.jp/npovol/	138.913549	35.119454
msm_pfaci_036	三島市生活支援センター	三島市東本町1丁目2-6 英光ビル1  1階	411-0831	055-973-3450	https://www.city.mishima.shizuoka.jp/ipn021357.html	138.919735	35.116552
msm_pfaci_037	三島市土地開発公社	三島市中央町5-5	411-0858	055-983-2622	https://www.city.mishima.shizuoka.jp/mishima_info/tochi/index.html	138.916446	35.119948
msm_pfaci_038	みしま聖苑	三島市字賀茂之洞4703-7	411-0000	055-976-3663	https://www.city.mishima.shizuoka.jp/ipn004796.html	138.936423	35.142292
msm_pfaci_039	三島警察署	三島市谷田194-1	411-0801	055-981-0110	https://www.city.mishima.shizuoka.jp/ipn000224.html	138.927931	35.113722
msm_pfaci_040	三島郵便局	三島市南田町4-50	411-0837	055-975-0001	https://www.city.mishima.shizuoka.jp/ipn000231.html	138.916811	35.111848
msm_pfaci_041	三島税務署	三島市文教町1丁目4-33	411-8551	055-987-6711	https://www.city.mishima.shizuoka.jp/ipn000196.html	138.912739	35.133619
msm_pfaci_042	法務局証明書サービスセンター	三島市北田町4-47	411-8666	055-923-1201（静岡地方法務局沼津支局）	https://www.city.mishima.shizuoka.jp/ipn012410.html	138.918056	35.118197
msm_pfaci_043	三島区検察庁	三島市文教町1丁目3-5	411-0033	055-986-0290	https://www.city.mishima.shizuoka.jp/ipn000201.html	138.914215	35.128535
msm_pfaci_044	三島簡易裁判所	三島市文教町1丁目3-1	411-0033	055-986-0405	https://www.city.mishima.shizuoka.jp/ipn000202.html	138.914188	35.128346
msm_pfaci_045	ハローワーク三島	三島市文教町1丁目3-112	411-0033	055-980-1300	https://www.city.mishima.shizuoka.jp/ipn000153.html	138.913362	35.128394
msm_pfaci_046	日本年金機構三島年金事務所	三島市寿町9-44	411-8660	055-973-1166	https://www.city.mishima.shizuoka.jp/ipn000205.html	138.908351	35.123344
msm_pfaci_047	三島市観光協会（事務所）	三島市一番町2-29	411-0036	055-971-5000	https://www.city.mishima.shizuoka.jp/ipn001435.html	138.914172	35.12395
msm_pfaci_048	三島市観光協会（案内所）	三島市一番町16-1	411-0036	055-946-6900	https://www.city.mishima.shizuoka.jp/ipn001435.html	138.911554	35.12592
msm_pfaci_049	三島市社会福祉協議会	三島市南本町20-30	411-0841	055-972-3221	https://www.city.mishima.shizuoka.jp/ipn014503.html	138.915229	35.118311
msm_pfaci_050	三島市医師会メディカルセンター	三島市南本町4-31	411-0841	055-972-0711	https://www.city.mishima.shizuoka.jp/ipn000170.html	138.91349	35.116245
msm_pfaci_051	三島総合病院	三島市谷田字藤久保2276	411-0801	055-975-3031	https://mishima.jcho.go.jp/	138.951707	35.12413
msm_pfaci_052	静岡県総合健康センター	三島市谷田2276	411-0801	055-973-7000	https://www.city.mishima.shizuoka.jp/ipn000247.html	138.952774	35.122041
msm_pfaci_053	国立遺伝学研究所	三島市谷田1111	411-8540	055-981-6707	http://www.city.mishima.shizuoka.jp/ipn007298.html	138.938494	35.117811
msm_pfaci_054	県立三島北高等学校	三島市文教町1丁目3-18	411-0033	055-986-0107	https://www.city.mishima.shizuoka.jp/ipn000199.html	138.913287	35.129522
msm_pfaci_055	県立三島南高等学校	三島市大場608	411-0803	055-977-8333	https://www.city.mishima.shizuoka.jp/ipn000240.html	138.944583	35.094995
msm_pfaci_056	県立三島長陵高等学校	三島市文教町1丁目3-93	411-0033	055-986-2000	http://www.city.mishima.shizuoka.jp/ipn007295.html	138.911519	35.128723
msm_pfaci_057	日本大学国際関係学部	三島市文教町2丁目31-145	411-0033	055-986-5500	https://www.city.mishima.shizuoka.jp/ipn000188.html	138.914995	35.131562
msm_pfaci_058	日本大学三島高等学校・中学校	三島市文教町2丁目31-145	411-0033	055-986-3500	https://www.city.mishima.shizuoka.jp/ipn001434.html	138.915178	35.131562
msm_pfaci_059	順天堂大学保健看護学部	三島市大宮町3丁目7-33	411-8787	055-991-3111	http://www.city.mishima.shizuoka.jp/ipn007296.html	138.91923	35.125645
