#LINK
#lang	ja
#attribution_name	三島市
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	mishima_public_toilet
#download_from	http://linkdata.org/work/rdf1s1771i
#property	http://www.w3.org/2000/01/rdf-schema#label	use_time	Multi-Purpose Toilet	use_time（Multi-Purpose Toilet）	http://www.w3.org/2003/01/geo/wgs84_pos#lat	http://www.w3.org/2003/01/geo/wgs84_pos#long
#object_type_xsd	string:ja	string:ja	string:ja	string:ja	float	float
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
msm_tlt_01	JR三島駅南口	24時間	有		35.126013	138.912838
msm_tlt_02	白滝公園	24時間	有	8：30～17：00	35.1231762808803	138.914084964739
msm_tlt_03	菰池公園	24時間	有	8：30～17：00	35.1252647750385	138.915994697557
msm_tlt_04	楽寿園南口（源兵衛川近く）	24時間	有	8：30～17：00	35.1249137713607	138.910952144609
msm_tlt_05	三嶋大社	8：00～18：00			35.1208946714353	138.920093112932
msm_tlt_06	三島市役所大社町別館	8：30～21：30	有	8：30～21：30	35.1193501610775	138.919342094409
msm_tlt_07	三石神社	24時間	有	8：30～17：00	35.1186656528043	138.9119606552
msm_tlt_08	水の苑緑地	24時間	有	8：30～17：00	35.1155238615676	138.91378455733
msm_tlt_09	南田町広場	24時間	有	8：30～17：00	35.1111532354014	138.915930324541
msm_tlt_10	佐野美術館	10：00～17：00	有	8：30～17：00	35.1149270830597	138.916209274279
msm_tlt_11	東町うるおい広場	24時間	有	8：30～17：00	35.118276	138.92677
msm_tlt_12	長伏公園	24時間	有	8：30～17：00	35.083701	138.911176
msm_tlt_13	上岩崎公園	24時間	有	8：30～17：00	35.134729	138.916462
msm_tlt_14	向山古墳群公園	24時間	有	8：30～17：00	35.106073	138.941372
msm_tlt_15	中郷温水池公園	24時間	有	8：30～17：00	35.10889	138.916476
msm_tlt_16	玉沢公衆便所	24時間			35.12296	138.961295
