#LINK
#lang	ja
#attribution_url	https://www.city.mishima.shizuoka.jp/
#attribution_name	三島市
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	mishima_public_wifi
#download_from	http://linkdata.org/work/rdf1s1769i
#property	http://www.w3.org/2000/01/rdf-schema#label	URL	http://www.w3.org/2003/01/geo/wgs84_pos#lat	http://www.w3.org/2003/01/geo/wgs84_pos#long
#object_type_xsd	string:ja	string:ja	float	float
#property_context	Assertion	Assertion	Assertion	Assertion
msm_wifi_01	図書館	http://tosyokan.city.mishima.shizuoka.jp/top	35.123374	138.915486
msm_wifi_02	生涯学習センター	http://www.city.mishima.shizuoka.jp/syougai/	35.123374	138.915486
msm_wifi_03	中郷文化プラザ	http://www.city.mishima.shizuoka.jp/ipn001409.html	35.091796	138.924443
msm_wifi_04	北上文化プラザ	http://www.city.mishima.shizuoka.jp/ipn003712.html	35.150717	138.909314
msm_wifi_05	錦田公民館	http://www.city.mishima.shizuoka.jp/ipn001411.html	35.113819	138.936486
msm_wifi_06	坂公民館	http://www.city.mishima.shizuoka.jp/ipn001412.html	35.138210	138.962147
msm_wifi_07	市民活動センター	http://www.city.mishima.shizuoka.jp/npovol/	35.119527	138.913586
msm_wifi_08	市民体育館	http://www.sports-info.jp/	35.129065	138.918470
msm_wifi_09	市民文化会館	http://www.mishima-youyouhall.com/	35.123880	138.913006
msm_wifi_10	三島市総合観光案内所	http://www.city.mishima.shizuoka.jp/	35.125624	138.911269
msm_wifi_11	三島市役所本館玄関ロビー	http://www.city.mishima.shizuoka.jp/	35.118484	138.918494
msm_wifi_12	街中ほっとサロン	http://www.city.mishima.shizuoka.jp/ipn009570.html	35.119873	138.916634
msm_wifi_13	三島市高齢者いきがいセンター（シルバー人材センター）	http://www.sjc.ne.jp/mishima/	35.122012	138.920699
msm_wifi_14	山中城跡公園	http://www.mishima-kankou.com/msg/midokoro/10000020.html	35.153637	138.994017
msm_wifi_15	三島駅北口（北口広場）	http://izupass.jp/location/detail/302	35.127310	138.910774
msm_wifi_16	三島駅南口（駅前広場）	http://izupass.jp/location/detail/303	35.125731	138.911418
msm_wifi_17	楽寿園（どうぶつ広場付近）	http://izupass.jp/location/detail/304	35.123122	138.911126
msm_wifi_18	源兵衛川北側（水辺の散歩道上流付近）	http://izupass.jp/location/detail/307	35.121910	138.912386
msm_wifi_19	源兵衛川南側（広瀬橋付近）	http://izupass.jp/location/detail/301	35.120455	138.912558
msm_wifi_20	三石神社（時の鐘）	http://izupass.jp/location/detail/306	35.118330	138.912030
msm_wifi_21	本町（交差点付近）	http://izupass.jp/location/detail/305	35.119534	138.914893
msm_wifi_22	三嶋大社（宝物館付近）	http://izupass.jp/location/detail/299	35.121362	138.919653
msm_wifi_23	白滝公園（公園内から桜川付近）	http://izupass.jp/location/detail/300	35.123265	138.914279
msm_wifi_24	保健センター	http://www.city.mishima.shizuoka.jp/ipn000233.html	35.110909	138.924693
