#LINK
#lang	ja
#attribution_url	https://www.city.mishima.shizuoka.jp/
#attribution_name	三島市
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	mishima_shoukasen
#download_from	http://linkdata.org/work/rdf1s2518i
#property	type	http://www.w3.org/2000/01/rdf-schema#label	address	http://www.w3.org/2003/01/geo/wgs84_pos#long	http://www.w3.org/2003/01/geo/wgs84_pos#lat
#object_type_xsd	string:ja	string:ja	string:ja	float	float
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion
1	消火栓	日の出町消火栓1	三島市日の出町６番８７号	138.9225222222	35.1211972222
2	消火栓	日の出町消火栓2	三島市日の出町６番１号	138.9227833333	35.120725
3	消火栓	日の出町消火栓3	三島市日の出町１番７号	138.9229666667	35.1200611111
4	消火栓	日の出町消火栓4	三島市日の出町１番２７号	138.9231333333	35.1206555556
5	消火栓	日の出町消火栓5	三島市日の出町６番１０号	138.9237277778	35.1208777778
6	消火栓	日の出町消火栓6	三島市日の出町６番２３号	138.9249472222	35.1212777778
7	消火栓	日の出町消火栓7	三島市日の出町５番４８号	138.9253638889	35.1213333333
8	消火栓	日の出町消火栓8	三島市日の出町７番３０号	138.9234611111	35.1219055556
9	消火栓	日の出町消火栓9	三島市日の出町２番５号	138.9231277778	35.1193916667
10	消火栓	日の出町消火栓10	三島市日の出町４番３１号	138.9247166667	35.1190666667
11	消火栓	日の出町消火栓11	三島市日の出町２番２９号	138.9239055556	35.1202194444
12	消火栓	日の出町消火栓12	三島市日の出町７番４５号	138.924442	35.121701
13	消火栓	日の出町消火栓13	三島市日の出町４番２１号	138.9252944444	35.1197944444
14	消火栓	大社町消火栓1	三島市大社町１４番６号	138.9213479	35.120503
15	消火栓	大社町消火栓2	三島市大社町１４番１５号	138.9216777778	35.1211111111
16	消火栓	大社町消火栓3	三島市大社町１８番９号	138.9195	35.1193722222
17	消火栓	大社町消火栓4	三島市大社町５番２号	138.9197416667	35.1187416667
18	消火栓	大社町消火栓5	三島市大社町３番１４号	138.9202833333	35.1177666667
19	消火栓	大社町消火栓6	三島市大社町７番３２号	138.9225583333	35.1185166667
20	消火栓	大社町消火栓7	三島市大社町８番９号	138.9215666667	35.1197055556
21	消火栓	大社町消火栓8	三島市大社町１６番３号	138.9206861111	35.1203944444
22	消火栓	大社町消火栓9	三島市大社町７番２４号	138.9217694444	35.1182805556
23	消火栓	大社町消火栓10	三島市大社町１４番２５号	138.9206861111	35.1209833333
24	消火栓	大社町消火栓11	三島市大社町１番１７号	138.9195388889	35.1189638889
25	消火栓	大社町消火栓12	三島市大社町７番７６号	138.9205	35.119475
26	消火栓	中央町消火栓1	三島市中央町４番６号	138.9172055556	35.1198833333
27	消火栓	中央町消火栓2	三島市中央町４番１２号	138.9179555556	35.1199972222
28	消火栓	中央町消火栓3	三島市中央町４番２１号	138.9182722222	35.1204055556
29	消火栓	中央町消火栓4	三島市中央町５番２号	138.9161583333	35.1197111111
30	消火栓	中央町消火栓5	三島市中央町３番２４号	138.9189972222	35.1190305556
31	消火栓	中央町消火栓6	三島市中央町１番１３号	138.9163083333	35.1183694444
32	消火栓	中央町消火栓7	三島市中央町６番１０号　	138.9171527778	35.1207277778
33	消火栓	北田町消火栓1	三島市北田町４番４７号	138.9190333333	35.1188111111
34	消火栓	北田町消火栓2	三島市北田町４番２４号	138.9187222222	35.1171888889
35	消火栓	北田町消火栓3	三島市北田町６番２３号	138.9180361111	35.1170527778
36	消火栓	北田町消火栓4	三島市北田町７番５号	138.9164694444	35.1179305556
37	消火栓	北田町消火栓5	三島市北田町６番１９号	138.9174638889	35.1168861111
38	消火栓	北田町消火栓6	三島市北田町４番２８号	138.9192972222	35.1173805556
39	消火栓	北田町消火栓7	三島市北田町７番１３号	138.9169638889	35.1173194444
40	消火栓	中田町消火栓1	三島市中田町１４番１８号	138.9174361111	35.1158444444
41	消火栓	中田町消火栓2	三島市中田町３番２１号	138.9175972222	35.114675
42	消火栓	中田町消火栓3	三島市中田町６番３４号	138.916325	35.114375
43	消火栓	中田町消火栓4	三島市中田町１１番１１号	138.917775	35.1142777778
44	消火栓	中田町消火栓5	三島市中田町１１番２０号	138.9186166667	35.1143055556
45	消火栓	中田町消火栓6	三島市中田町９番３０号	138.919575	35.1143222222
46	消火栓	中田町消火栓7	三島市中田町２番１１号	138.9163138889	35.1155611111
47	消火栓	中田町消火栓8	三島市中田町１４番２４号	138.9171833333	35.1165388889
48	消火栓	南田町消火栓1	三島市南田町７番１１号	138.9175638889	35.1132194444
49	消火栓	南田町消火栓2	三島市南田町８番１２号	138.9174777778	35.1124416667
50	消火栓	南田町消火栓3	三島市南田町５番４５号	138.9187722222	35.1116138889
51	消火栓	南田町消火栓4	三島市南田町４番６５号	138.9163361111	35.1123333333
52	消火栓	南田町消火栓5	三島市南田町３番５７号	138.9150861111	35.1123861111
53	消火栓	南田町消火栓6	三島市南田町４番４０号	138.9166	35.1109861111
54	消火栓	南田町消火栓7	三島市南田町４番４０号	138.9169805556	35.1114027778
55	消火栓	東本町１丁目消火栓1	三島市東本町一丁目１３番１６号	138.9223916667	35.1154472222
56	消火栓	東本町１丁目消火栓2	三島市東本町一丁目９番２号	138.920424	35.116137
57	消火栓	東本町１丁目消火栓3	三島市東本町一丁目１５番１４号	138.9212138889	35.1166361111
58	消火栓	東本町１丁目消火栓4	三島市東本町一丁目１５番５号	138.92066	35.117392
59	消火栓	東本町１丁目消火栓5	三島市東本町一丁目６番９号	138.9199805556	35.1150611111
60	消火栓	東本町１丁目消火栓6	三島市東本町一丁目１３番９号	138.9218194444	35.1158944444
61	消火栓	東本町１丁目消火栓7	三島市東本町一丁目２番１号	138.9195361111	35.1170166667
62	消火栓	東本町１丁目消火栓8	三島市東本町一丁目８番１０号	138.921422	35.11493
63	消火栓	東本町１丁目消火栓9	三島市東本町一丁目１４番１５号	138.92235	35.1169416667
64	消火栓	東本町２丁目消火栓1	三島市東本町二丁目３番５１号	138.9233	35.1145083333
65	消火栓	東本町２丁目消火栓2	三島市東本町二丁目１２番３１号	138.9203694444	35.1144361111
66	消火栓	東本町２丁目消火栓3	三島市東本町二丁目１２番１２号	138.9209722222	35.1139972222
67	消火栓	東本町２丁目消火栓4	三島市東本町二丁目１番６０号	138.921003	35.112609
68	消火栓	東本町２丁目消火栓5	三島市東本町二丁目５番２号	138.9244972222	35.1159861111
69	消火栓	東本町２丁目消火栓6	三島市東本町二丁目５番２１号	138.9255444444	35.114425
70	消火栓	東本町２丁目消火栓7	三島市東本町二丁目４番８号	138.9240222222	35.1131694444
71	消火栓	東本町２丁目消火栓8	三島市東本町二丁目２番３３号	138.9224111111	35.1128527778
72	消火栓	東本町２丁目消火栓9	三島市東本町二丁目５番４３号	138.9265583333	35.1138444444
73	消火栓	東本町２丁目消火栓10	三島市東本町二丁目１２番６号	138.9205583333	35.1138194444
74	消火栓	東本町２丁目消火栓11	三島市東本町二丁目２番５１号	138.9228222222	35.1132361111
75	消火栓	東本町２丁目消火栓12	三島市東本町二丁目５番８号	138.9248944444	35.1154083333
76	消火栓	東本町２丁目消火栓13	三島市東本町二丁目５番	138.9267666667	35.1139666667
77	消火栓	東町消火栓　　　　　1	三島市東町２番１７号	138.9232416667	35.1101722222
78	消火栓	東町消火栓　　　　　2	三島市東町３番３８号	138.9237194444	35.117425
79	消火栓	東町消火栓　　　　　3	三島市東町１３番１号	138.9232416667	35.118675
80	消火栓	東町消火栓　　　　　4	三島市東町１３番１１号	138.9241111111	35.1185138889
81	消火栓	東町消火栓　　　　　5	三島市東町９番２４号	138.9252583333	35.1189888889
82	消火栓	東町消火栓　　　　　6	三島市東町６番１１号	138.9252416667	35.1103638889
83	消火栓	東町消火栓　　　　　7	三島市東町８番２０号	138.92615	35.1176111111
84	消火栓	東町消火栓　　　　　8	三島市東町１０番１２号	138.924297	35.116874
85	消火栓	南二日町消火栓1	三島市南二日町６５０番地の１	138.9214138889	35.1109138889
86	消火栓	南二日町消火栓2	三島市南二日町７番２０号	138.9215722222	35.1105
87	消火栓	南二日町消火栓3	三島市南二日町７番４号	138.923725	35.1110277778
88	消火栓	南二日町消火栓4	三島市南二日町８番３５号	138.9246055556	35.1112388889
89	消火栓	南二日町消火栓5	三島市南二日町２４番１０号	138.9250805556	35.1124111111
90	消火栓	南二日町消火栓6	三島市南二日町２０番３１号	138.9289166667	35.1100833333
91	消火栓	南二日町消火栓7	三島市南二日町２７番３８号	138.9228722222	35.1124138889
92	消火栓	南二日町消火栓8	三島市南二日町２３番５１号	138.9256027778	35.1117527778
93	消火栓	南二日町消火栓9	三島市南二日町３番４６号	138.920425	35.1093166667
94	消火栓	南二日町消火栓10	三島市南二日町３番１８号	138.9203444444	35.1094777778
95	消火栓	南二日町消火栓11	三島市南二日町２０番２号	138.9264333333	35.1111027778
96	消火栓	南二日町消火栓12	三島市南二日町２０番１６号	138.92705	35.1103611111
97	消火栓	南二日町消火栓13	三島市南二日町１９番１５号	138.9282583333	35.1089833333
98	消火栓	南二日町消火栓14	三島市南二日町２０番４３号	138.9283972222	35.1105583333
99	消火栓	南二日町消火栓15	三島市南二日町６２８番１号	138.9228333333	35.1093777778
100	消火栓	富田町消火栓1	三島市富田町７番２８号	138.9199638889	35.1086666667
101	消火栓	富田町消火栓2	三島市富田町５番５６号	138.9171527778	35.1095527778
102	消火栓	富田町消火栓3	三島市富田町３番５号　	138.9157055556	35.1082861111
103	消火栓	富田町消火栓4	三島市富田町１３番２７号	138.918225	35.1104222222
104	消火栓	玉川消火栓1	三島市玉川１３８番５号	138.9128722222	35.1083722222
105	消火栓	玉川消火栓2	三島市玉川２４２番１号	138.9153027778	35.1092194444
106	消火栓	玉川消火栓3	三島市玉川２１１番７号	138.9156194444	35.1072138889
107	消火栓	玉川消火栓4	三島市玉川１３８番地	138.9119777778	35.1055805556
108	消火栓	玉川消火栓5	三島市玉川４１番	138.91135	35.1067833333
109	消火栓	玉川消火栓6	三島市玉川３７番１号	138.9111555556	35.1075305556
110	消火栓	玉川消火栓7	三島市玉川４６０番１号	138.9158611111	35.1054277778
111	消火栓	玉川消火栓8	三島市玉川４７５番	138.9137305556	35.103725
112	消火栓	玉川消火栓10	三島市玉川２９２番	138.9122138889	35.1069333333
113	消火栓	玉川消火栓11	三島市玉川４１２番３号	138.9158388889	35.1059638889
114	消火栓	玉川消火栓12	三島市玉川１０番	138.9109055556	35.1084722222
115	消火栓	玉川消火栓13	三島市玉川１４１番地	138.9153722222	35.1040111111
116	消火栓	玉川消火栓14	三島市玉川１２９番２号	138.913325	35.1052388889
117	消火栓	藤代町消火栓1	三島市藤代町８番１２号	138.9240666667	35.1077055556
118	消火栓	藤代町消火栓2	三島市藤代町１１番９号	138.9237611111	35.1064666667
119	消火栓	藤代町消火栓3	三島市藤代町１４番１３号	138.9223722222	35.106775
120	消火栓	藤代町消火栓4	三島市藤代町２番９号	138.9240638889	35.1060388889
121	消火栓	藤代町消火栓5	三島市藤代町１７番２号	138.9226611111	35.1061472222
122	消火栓	藤代町消火栓6	三島市藤代町６２番	138.9232944444	35.1057833333
123	消火栓	青木消火栓1	三島市青木７５番地１	138.9212583333	35.1056305556
124	消火栓	青木消火栓2	三島市青木２９５番地の１１	138.9222666667	35.1071833333
125	消火栓	青木消火栓3	三島市青木７６番地３	138.9219277778	35.1059194444
126	消火栓	青木消火栓4	三島市青木８６番地	138.9212527778	35.1066361111
127	消火栓	青木消火栓5	三島市青木３１番地	138.9200888889	35.1056638889
128	消火栓	青木消火栓6	三島市青木３８番地２	138.9197	35.1052361111
129	消火栓	青木消火栓7	三島市青木１３８番地１	138.9216638889	35.1038972222
130	消火栓	青木消火栓8	三島市青木７４番１号	138.9212611111	35.1050638889
131	消火栓	青木消火栓9	三島市青木２８２番地の１０	138.92175	35.1082277778
132	消火栓	青木消火栓10	三島市青木３９６番地９	138.9238055556	35.1088861111
133	消火栓	青木消火栓11	三島市青木３３３番地の２	138.9247388889	35.1081666667
134	消火栓	青木消火栓12	三島市青木３９７番地の３	138.9236916667	35.1080305556
135	消火栓	青木消火栓13	三島市青木１９２番地３	138.9241944444	35.1035944444
136	消火栓	青木消火栓14	三島市青木３０３番地２	138.9229527778	35.1081305556
137	消火栓	青木消火栓15	三島市青木２１０番地の１	138.922625	35.1043833333
138	消火栓	青木消火栓16	三島市青木５９番地３	138.9186722222	35.1052083333
139	消火栓	青木消火栓17	三島市青木３７９番地６	138.9254777778	35.1068444444
140	消火栓	青木消火栓18	三島市青木３６５番地の４	138.9268138889	35.10685
141	消火栓	青木消火栓19	三島市青木２８２番地の９	138.9207861111	35.1075027778
142	消火栓	新谷消火栓1	三島市新谷１３９番地	138.9179472222	35.1042333333
143	消火栓	新谷消火栓2	三島市新谷１２３番地	138.9183388889	35.1031555556
144	消火栓	新谷消火栓3	三島市新谷４番地２	138.9186	35.10439
145	消火栓	新谷消火栓4	三島市新谷１５４番地の２０	138.9160166667	35.1036805556
146	消火栓	新谷消火栓5	三島市新谷２５番地の１	138.9220944444	35.102975
147	消火栓	新谷消火栓6	三島市新谷４７番地６	138.922625	35.1020388889
148	消火栓	新谷消火栓7	三島市新谷１５７番地	138.9168416667	35.1052083333
149	消火栓	新谷消火栓8	三島市新谷６２番地５	138.9182111111	35.0981472222
150	消火栓	新谷消火栓9	三島市新谷１５７番地	138.9174972222	35.1052527778
151	消火栓	新谷消火栓10	三島市新谷７０番地の１	138.9189444444	35.0986833333
152	消火栓	新谷消火栓11	三島市新谷１７１番地５	138.9172666667	35.1061027778
153	消火栓	新谷消火栓12	三島市新谷５３番地の５	138.9203083333	35.0990722222
154	消火栓	新谷消火栓13	三島市新谷１７５番地	138.9176138889	35.1070472222
155	消火栓	新谷消火栓14	三島市新谷１７６番地３	138.918267	35.101644
156	消火栓	新谷消火栓15	三島市新谷２２番地３	138.92014	35.103352
157	消火栓	平田消火栓1	三島市平田８番地	138.9143722222	35.0982694444
158	消火栓	平田消火栓2	三島市平田１６番	138.9144472222	35.0977972222
159	消火栓	平田消火栓3	三島市平田４８番地	138.9145333333	35.0994888889
160	消火栓	平田消火栓4	三島市平田１２４番地	138.9139194444	35.1023694444
161	消火栓	平田消火栓5	三島市平田１４８番地８	138.9152555556	35.1015666667
162	消火栓	平田消火栓6	三島市平田１６４番地１	138.9150777778	35.1003333333
163	消火栓	平田消火栓7	三島市平田４７番地３	138.9151777778	35.0985472222
164	消火栓	加屋町消火栓1	三島市加屋町１番１６号	138.905925	35.1170305556
165	消火栓	加屋町消火栓2	三島市加屋町６番３６号	138.9064722222	35.1158583333
166	消火栓	加屋町消火栓3	三島市加屋町６番３３号	138.9066638889	35.1156222222
167	消火栓	加屋町消火栓4	三島市加屋町９番３号	138.9072333333	35.1161222222
168	消火栓	加屋町消火栓5	三島市加屋町３番１５号	138.9045305556	35.1162055556
169	消火栓	加屋町消火栓6	三島市加屋町４番２９号	138.9060416667	35.1146388889
170	消火栓	加屋町消火栓7	三島市加屋町２番２９号	138.906225	35.1164694444
171	消火栓	加屋町消火栓8	三島市加屋町６番８号	138.905725	35.1156055556
172	消火栓	清住町消火栓1	三島市清住町２番８号	138.9070416667	35.1149416667
173	消火栓	清住町消火栓2	三島市清住町８番２８号	138.907475	35.1140388889
174	消火栓	清住町消火栓3	三島市清住町９番２４号	138.9078333333	35.1133
175	消火栓	清住町消火栓4	三島市清住町１０番	138.9083222222	35.1123361111
176	消火栓	三好町消火栓1	三島市三好町１６番１１号	138.9088361111	35.111325
177	消火栓	三好町消火栓2	三島市三好町７番２２号	138.9092888889	35.1104611111
178	消火栓	三好町消火栓3	三島市三好町１３番３０号	138.9097611111	35.1094972222
179	消火栓	三好町消火栓4	三島市三好町１６番３０号	138.9103722222	35.1108083333
180	消火栓	三好町消火栓5	三島市三好町１４番２３号	138.9107305556	35.1093472222
181	消火栓	西本町消火栓1	三島市西本町３番１９号	138.9078888889	35.1172111111
182	消火栓	西本町消火栓2	三島市西本町７番１６号	138.9082638889	35.1165527778
183	消火栓	西本町消火栓3	三島市西本町１０番１８号	138.9095194444	35.116925
184	消火栓	西本町消火栓4	三島市西本町１０番３０号	138.9107583333	35.1173277778
185	消火栓	西本町消火栓5	三島市西本町１０番２５号	138.9101666667	35.1171416667
186	消火栓	栄町消火栓1	三島市栄町４番９号	138.9077416667	35.1206472222
187	消火栓	栄町消火栓2	三島市栄町１番１８号	138.9083	35.1194305556
188	消火栓	栄町消火栓3	三島市栄町１番２４号	138.9086777778	35.1188166667
189	消火栓	栄町消火栓4	三島市栄町１２番２８号	138.9075777778	35.1183694444
190	消火栓	栄町消火栓5	三島市栄町５番１６号	138.9071527778	35.11925
191	消火栓	栄町消火栓6	三島市栄町４番２６号	138.9069111111	35.1198472222
192	消火栓	栄町消火栓7	三島市栄町４番１９号	138.9067722222	35.1203916667
193	消火栓	栄町消火栓8	三島市栄町８番８号	138.9062888889	35.1202083333
194	消火栓	栄町消火栓9	三島市栄町６番２０号	138.90665	35.1190666667
195	消火栓	栄町消火栓10	三島市栄町１０番５３号	138.9065694444	35.1180083333
196	消火栓	栄町消火栓11	三島市栄町１０番４４号	138.9056722222	35.1176833333
197	消火栓	栄町消火栓12	三島市栄町３番１０号	138.9085361111	35.1208555556
198	消火栓	西若町消火栓1	三島市西若町	138.9084444444	35.1226416667
199	消火栓	西若町消火栓2	三島市西若町２番１８号	138.9076083333	35.1224111111
200	消火栓	西若町消火栓3	三島市西若町４番６号	138.9070444444	35.1227833333
201	消火栓	西若町消火栓4	三島市西若町５番１１号	138.9071194444	35.1222861111
202	消火栓	西若町消火栓5	三島市西若町５番１８号	138.9062194444	35.1220583333
203	消火栓	西若町消火栓6	三島市西若町４番２５号	138.9059722222	35.12235
204	消火栓	西若町消火栓7	三島市西若町７番８号	138.9058388889	35.1211111111
205	消火栓	緑町消火栓1	三島市緑町９番２５号	138.9091222222	35.1148277778
206	消火栓	緑町消火栓2	三島市緑町６番５号	138.9100194444	35.11705
207	消火栓	緑町消火栓3	三島市緑町３番１号	138.9113611111	35.1175138889
208	消火栓	緑町消火栓4	三島市緑町４番１２号	138.9112222222	35.1164833333
209	消火栓	緑町消火栓5	三島市緑町１５番１８号	138.9116944444	35.1155583333
210	消火栓	緑町消火栓6	三島市緑町２０番１７号	138.9121555556	35.11465
211	消火栓	緑町消火栓7	三島市緑町１６番２号	138.9120527778	35.1167194444
212	消火栓	緑町消火栓8	三島市緑町９番５号	138.9081305556	35.1153555556
213	消火栓	緑町消火栓9	三島市緑町８番５号	138.9076805556	35.1162777778
214	消火栓	南町消火栓1	三島市南町８番２１号	138.911775	35.1102138889
215	消火栓	南町消火栓2	三島市南町１１番２６号	138.91325	35.1101472222
216	消火栓	南町消火栓3	三島市南町１６番８号	138.9140416667	35.110925
217	消火栓	南町消火栓4	三島市南町１６番３０号	138.9151055556	35.1103527778
218	消火栓	南町消火栓5	三島市南町２番３７号	138.9148	35.1124083333
219	消火栓	南町消火栓6	三島市南町１３番１号	138.91355	35.1118527778
220	消火栓	南町消火栓7	三島市南町５番１号	138.9131194444	35.1126777778
221	消火栓	南町消火栓8	三島市南町３番１０号	138.9126805556	35.113675
222	消火栓	南町消火栓9	三島市南町８番１号	138.9120416667	35.111375
223	消火栓	広小路町消火栓1	三島市広小路町７番１６号	138.9096972222	35.1192166667
224	消火栓	広小路町消火栓2	三島市広小路町７番２０号	138.9099777778	35.1190694444
225	消火栓	広小路町消火栓3	三島市広小路町８番１２号	138.9100611111	35.1183277778
226	消火栓	広小路町消火栓4	三島市広小路町１２番１１号	138.9118222222	35.1177166667
227	消火栓	広小路町消火栓5	三島市広小路町１番３９号	138.9116277778	35.1188611111
228	消火栓	広小路町消火栓6	三島市広小路町４番７号	138.9112583333	35.1195194444
229	消火栓	広小路町消火栓7	三島市広小路町５番１９号	138.9110333333	35.1188527778
230	消火栓	広小路町消火栓8	三島市広小路町１番２２号	138.9116777778	35.1203055556
231	消火栓	泉町消火栓1	三島市泉町９番１９号	138.9092833333	35.12285
232	消火栓	泉町消火栓2	三島市泉町９番１５号	138.9094555556	35.1225305556
233	消火栓	泉町消火栓3	三島市泉町１０番１号	138.9097361111	35.1211694444
234	消火栓	泉町消火栓4	三島市泉町１０番９号	138.9087222222	35.1217361111
235	消火栓	泉町消火栓5	三島市泉町１０番１９号	138.9089833333	35.1210333333
236	消火栓	泉町消火栓6	三島市泉町１２番２７号	138.909525	35.1197972222
237	消火栓	泉町消火栓7	三島市泉町７番９号	138.9098805556	35.1198055556
238	消火栓	泉町消火栓8	三島市泉町１２番２９号	138.9108138889	35.1202694444
239	消火栓	泉町消火栓9	三島市泉町１３番６号	138.9105555556	35.1207305556
240	消火栓	泉町消火栓10	三島市泉町７番８号	138.9109	35.1213638889
241	消火栓	泉町消火栓11	三島市泉町６番８号	138.9111138889	35.1219083333
242	消火栓	泉町消火栓12	三島市泉町１２番２０号	138.9091888889	35.1205166667
243	消火栓	本町消火栓1	三島市本町１番３５号	138.9146277778	35.1204972222
244	消火栓	本町消火栓2	三島市本町４番８号	138.9135694444	35.120525
245	消火栓	本町消火栓3	三島市本町６番１０号	138.9129916667	35.1200944444
246	消火栓	本町消火栓4	三島市本町６番６号	138.9131194444	35.1196166667
247	消火栓	本町消火栓6	三島市本町６番３３号	138.9127083333	35.1190694444
248	消火栓	本町消火栓7	三島市本町３番３８号	138.9144027778	35.1194111111
249	消火栓	本町消火栓8	三島市本町１番２号	138.9148916667	35.119525
250	消火栓	本町消火栓9	三島市本町１３番１号	138.9148805556	35.1193611111
251	消火栓	本町消火栓10	三島市本町１２番１９号	138.9148527778	35.1188277778
252	消火栓	本町消火栓11	三島市本町１番４号	138.9151277778	35.1195555556
253	消火栓	本町消火栓12	三島市本町１４番１７号	138.9159194444	35.1186333333
254	消火栓	本町消火栓13	三島市本町２番１号	138.9141722222	35.1205472222
255	消火栓	本町消火栓14	三島市本町１番４１号	138.9147388889	35.1199722222
256	消火栓	本町消火栓15	三島市本町１１番８号	138.9132555556	35.1190722222
257	消火栓	本町消火栓16	三島市本町７番２８号	138.9123527778	35.119025
258	消火栓	本町消火栓17	三島市本町３番３３号	138.9139527778	35.1193138889
259	消火栓	本町消火栓18	三島市本町１番２２号	138.9159527778	35.1204805556
260	消火栓	本町消火栓19	三島市本町９番１９号	138.9134583333	35.1182111111
261	消火栓	南本町消火栓1	三島市南本町３番３号	138.9131	35.1180333333
262	消火栓	南本町消火栓2	三島市南本町８番６号	138.9140472222	35.1159222222
263	消火栓	南本町消火栓3	三島市南本町１番７号	138.9142194444	35.1184888889
264	消火栓	南本町消火栓4	三島市南本町１番３１号	138.9149333333	35.1178444444
265	消火栓	南本町消火栓5	三島市南本町２番２７号	138.9149444444	35.1174305556
266	消火栓	南本町消火栓6	三島市南本町６番２８号	138.9149166667	35.1164972222
267	消火栓	南本町消火栓7	三島市南本町１２番２３号	138.9151861111	35.1144611111
268	消火栓	南本町消火栓8	三島市南本町３番２３号	138.9133944444	35.1171777778
