#LINK
#lang	ja
#attribution_name	三島市
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	mishima_tanita_katudoryokyoten
#download_from	http://linkdata.org/work/rdf1s7133i
#property	施設名	施設区分	電話番号	郵便番号	都道府県名	市区町村名	住所	http://www.w3.org/2003/01/geo/wgs84_pos#lat	http://www.w3.org/2003/01/geo/wgs84_pos#long	営業時間	定休日	備考
#object_type_xsd	string:ja	string:ja	string	string	string:ja	string:ja	string:ja	float	float	string	string:ja	string:ja
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
1	みしま健幸塾	健康づくり拠点	055-955-9651	411-0858	静岡県	三島市	中央町1-40	35.119483	138.9161461	火・水・金10：00-17:00　木12：00-20:00　土日10:00-16:00	月	
2	Cafe&Bakery グルッペ	「タニタカフェ」メニュー提供店	055-973-1153	411-0855	静岡県	三島市	本町2-27	35.119602	138.914466	9:30-19:00		
3	Cafe&Gallery RAKU	「タニタ監修」メニュー提供店	055-975-3895	411-0858	静岡県	三島市	中央町7-7	35.121822	138.916396	9:30-16:30　隠れ家バル（土曜のみ）18:00-22:00（LO）	木	1日10食限定
4	Cafe&Bakery グルッペ	「タニタ監修」メニュー提供店	055-973-1153	411-0855	静岡県	三島市	本町2-27	35.119602	138.914466	11:00-15:00		1日10食限定　要予約
5	三島プラザホテル　カフェレストランセゾン	「タニタ監修」メニュー提供店	055-976-2303	411-0855	静岡県	三島市	本町14-31	35.11944	138.915347	11:30-14:00		
6	赤から三島店	「タニタ監修」メニュー提供店	055-991-2222	411-0036	静岡県	三島市	一番町9-37	35.125768	138.913149	11:00-15:00		1日10食
7	イタリアンダイニング TSUJIMARU	「タニタ監修」メニュー提供店	055-975-0340	411-0853	静岡県	三島市	大社町18-52	35.119891	138.919707	11:00-14:30		要予約（2日前まで）
8	ウェルシア薬局三島広小路店	健康づくり協力店	055-973-0436	411-0856	静岡県	三島市	広小路町13-4	35.118625	138.911749	9:00-19:00		
9	イトーヨーカドー三島店2Fフットキューブ	健康づくり協力店	055-981-6111	411-0838	静岡県	三島市	中田町9-30	35.113235	138.919352	10:00-21:00	イトーヨーカドー定休日	
10	北上文化プラザ	健康づくり協力店	055-987-5950	411-0045	静岡県	三島市	萩312	35.150663	138.909307	月・祝:9:00-17:00　火～土:9:00-21:00	日、年末年始	
11	中郷文化プラザ	健康づくり協力店	055-982-5100	411-0816	静岡県	三島市	梅名353-1	35.091764	138.924521	月・祝:9:00-17:00　火～土:9:00-21:00	日、年末年始	
12	錦田公民館	健康づくり協力店	055-973-0308	411-0801	静岡県	三島市	三島市谷田（並木）973-1	35.113823	138.936497	月・祝:9:00-17:00　火～土:9:00-21:00	日、年末年始	
13	VENITE CAFFE e BAR	「タニタ監修」メニュー提供店	055-919-4440	411-0816	静岡県	三島市	梅名519	35.0966251	138.9257522	水～土　11:00～22:00	月・火・日・祝日	1日5食限定（前日までの予約によっては10食まで可）
14	おひさま薬局	健康づくり協力店	055-980-4646	411-0045	静岡県	三島市	萩283-3	35.1502696	138.9064715	月・火・木・金:8:30-19:00　水:8:30-18:00　土:8:30-13:00	日	
