#LINK
#lang	ja
#attribution_url	https://www.city.mishima.shizuoka.jp/
#attribution_name	三島市
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	mishima_yakkyoku
#download_from	http://linkdata.org/work/rdf1s7134i
#property	薬局名	郵便番号	所在地	電話番号	http://www.w3.org/2003/01/geo/wgs84_pos#lat	http://www.w3.org/2003/01/geo/wgs84_pos#long
#object_type_xsd	string:ja	string	string:ja	string	float	float
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
1	有限会社プレッソグリーン薬局三島泉町店	411-0037	三島市泉町2-11	055-981-1106	35.1212	138.912
2	さの薬局	411-0037	三島市泉町10-5	055-971-9123	35.1215	138.909
3	ユーアイ薬局三島駅前店	411-0036	三島市⼀番町15-21 マスダビル2階201	055-941-7967	35.1253	138.912
4	みしま岩⽥薬局	411-0036	三島市⼀番町17-50	055-973-0844	35.1253	138.91
5	ポプラ薬局壱町⽥店	411-0025	三島市壱町⽥78-1	055-980-4100	35.1336	138.92
6	きずな薬局 徳倉店	411-0025	三島市壱町⽥261-3	055-988-4193	35.1305	138.92
7	アリス薬局梅名店	411-0816	三島市梅名440-10	055-982-6262	35.0934	138.925
8	ことぶき薬局	411-0816	三島市梅名613-2	055-977-6024	35.0989	138.923
9	有限会社岡本薬局	411-0035	三島市⼤宮町3-16-6	055-972-5191	35.1261	138.917
10	加茂川町⽀店丸屋薬局	411-0034	三島市加茂川町22-14	055-981-5010	35.1261	138.921
11	漢⽅薬局養⼼堂	411-0845	三島市加屋町1-26	055-971-4434	35.1167	138.906
12	きりん薬局	411-0845	三島市加屋町3-15	055-972-3278	35.1161	138.905
13	あかし薬局川原ケ⾕店	411-0022	三島市川原ヶ⾕108	055-972-7579	35.1227	138.929
14	三島薬局	411-0854	三島市北⽥町2-20	055-975-0240	35.1169	138.917
15	有限会社⼤洋堂薬局	411-0854	三島市北⽥町4-21	055-975-1228	35.1173	138.913
16	エンジュ薬局	411-0031	三島市幸原町2-3-5	055-987-3434	35.1382	138.912
17	有限会社⼤洋堂薬局栄町店	411-0846	三島市栄町12-5	055-983-3166	35.1191	138.908
18	有限会社⼤洋堂薬局芝本町店	411-0857	三島市芝本町11-27	055-946-5400	35.1208	138.913
19	有限会社あかし薬局	411-0032	三島市末広町3-1	055-986-4486	35.1359	138.912
20	丸屋薬局株式会社	411-0853	三島市⼤社町1-33	055-975-0626	35.1199	138.919
21	ポプラ薬局⽟川店	411-0835	三島市⽟川413	055-991-7070	35.1055	138.916
22	ポプラ薬局三島徳倉店	411-0044	三島市徳倉4-13-19	055-980-0021	35.1435	138.911
23	⻑伏つばさ薬局	411-0824	三島市⻑伏224-12	055-982-6700	35.0858	138.916
24	さの薬局⻑伏	411-0824	三島市⻑伏226-20	055-977-0035	35.0859	138.916
25	仁科薬局三島店	411-0847	三島市⻄本町2-1	055-981-5411	35.1189	138.909
26	エンゼル薬局三島店	411-0045	三島市萩191	055-986-0120	35.1482	138.908
27	ポプラ薬局萩店	411-0045	三島市萩259-4	055-980-5955	35.1487	138.909
28	おひさま薬局	411-0045	三島市萩283-3	055-980-4646	35.1504	138.908
29	メイプル薬局三島東町店	411-0852	三島市東町1-20	055-991-2800	35.1175	138.923
30	薬局ユニオン	411-0831	三島市東本町1-2-6	055-973-6767	35.1165833	138.919771
31	ポプラ薬局東本町店	411-0831	三島市東本町1-16-29	055-991-2181	35.1171	138.921
32	有限会社慧光あかね薬局	411-0831	三島市東本町2-1-14	055-983-5000	35.1133	138.92
33	メイプル薬局三島店	411-0831	三島市東本町2-4-33	055-991-5050	35.114	138.925
34	さくら薬局三島光ケ丘店	411-0029	三島市光ヶ丘19-25	055-986-0703	35.1353	138.926
35	こいぬ薬局三島平⽥店	411-0821	三島市平⽥185-4	055-991-0166	35.0987	138.916
36	ウエルシア三島広⼩路⻄薬局	411-0856	三島市広⼩路町8-19	055-976-5353	35.1188	138.91
37	アリスすずき薬局	411-0856	三島市広⼩路町12-14	055-975-6868	35.1178	138.912
38	ウエルシア三島広⼩路薬局	411-0856	三島市広⼩路町13-4	055-983-2889	35.1187	138.912
39	ヤマガタ薬局	411-0855	三島市本町6-34	055-975-2193	35.1192	138.913
40	有限会社⼟佐⾕薬局	411-0822	三島市松本2-4	055-981-2448	35.0979	138.917
41	菊地薬局	411-0832	三島市南⼆⽇町22-1	055-976-4118	35.113	138.925
42	エコー薬局	411-0801	三島市⾕⽥字中⼩⼭101	055-981-6644	35.118	138.932
43	有限会社⼤洋堂薬局⾕⽥店	411-0801	三島市⾕⽥231-1	055-946-6213	35.114	138.93
44	ながいき薬局	411-0801	三島市⾕⽥字和⽥233-17	055-983-5030	35.1141	138.932
