#LINK
#lang	ja
#attribution_url	http://www.city.mishima.shizuoka.jp/websystem/kouen/kouen_index.html
#attribution_name	三島市
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	mishima_park
#download_from	http://linkdata.org/work/rdf1s1774i
#property	http://www.w3.org/2000/01/rdf-schema#label	kubun	address	areaSize(ha)	notes	toilet	Multi-Purpose Toilet	parking	http://www.w3.org/2003/01/geo/wgs84_pos#lat	http://www.w3.org/2003/01/geo/wgs84_pos#long
#object_type_xsd	string:ja	string:ja	string:ja	string	string:ja	string:ja	string:ja	string:ja	float	float
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
msm_prk_001	楽寿園	都市公園	静岡県三島市一番町19-3	7.28	トイレ,駐車場,多目的トイレ	有	有	有	35.124884	138.910918
msm_prk_002	白滝公園	都市公園	静岡県三島市一番町1-1	0.41	複合遊具,トイレ,多目的トイレ	有	有		35.123037	138.91426
msm_prk_003	菰池公園	都市公園	静岡県三島市大宮町3-20-1	0.37	すべり台,ブランコ,鉄棒,ｽﾌﾟﾘﾝｸﾞ遊具,その他遊具,トイレ,多目的トイレ	有	有		35.125463	138.915816
msm_prk_004	間眠神社	子供の遊び場	静岡県三島市東本町2-11-38	0.12	すべり台,ブランコ,鉄棒				35.114478	138.922113
msm_prk_005	三ツ石公園	都市公園	静岡県三島市広小路町13-1	0.05	トイレ,多目的トイレ	有	有		35.118388	138.912026
msm_prk_006	若宮公園	都市公園	静岡県三島市西若町8-7	0.08	すべり台,ブランコ,鉄棒				35.121168	138.906133
msm_prk_007	長伏公園	都市公園	静岡県三島市長伏274-3	5.63	すべり台,ブランコ,うんてい,ｽﾌﾟﾘﾝｸﾞ遊具,複合遊具,その他遊具,トイレ,駐車場,多目的トイレ	有	有	有	35.083701	138.911176
msm_prk_008	子供の森公園	都市公園	静岡県三島市観音洞4704-800	6.50	ｱｽﾚﾁｯｸ,トイレ,駐車場	有		有	35.14181	138.962266
msm_prk_009	萩公園	都市公園	静岡県三島市萩829-1	0.31	すべり台,ブランコ,鉄棒,トイレ	有			35.152102	138.909526
msm_prk_010	光ケ丘公園	都市公園	静岡県三島市光ケ丘21-2	0.21	すべり台,ブランコ,鉄棒,その他遊具				35.136096	138.927022
msm_prk_011	虹公園	都市公園	静岡県三島市光ケ丘49-3	0.2					35.134216	138.923648
msm_prk_012	つつじ公園	都市公園	静岡県三島市谷田字梨ノ木山1997-1	0.11	すべり台,ブランコ,鉄棒				35.10921	138.943067
