#LINK
#lang	ja
#attribution_name	三島市
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	mishima_senkyo_tohyojo
#download_from	http://linkdata.org/work/rdf1s1768i
#property	http://www.w3.org/2000/01/rdf-schema#label	tno	http://www.w3.org/2003/01/geo/wgs84_pos#lat	http://www.w3.org/2003/01/geo/wgs84_pos#long	note
#object_type_xsd	string	string	float	float	string:ja
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion
1	三島市立西小学校	1	35.116433	138.908901	加屋町、清住町、三好町、西本町、緑町、南町、広小路町８～１３
msm_skt_02	三島市立西幼稚園	2	35.119926	138.908451	栄町、西若町、広小路町１～７、泉町、寿町
msm_skt_03	三島市立長伏小学校	3	35.08536	138.914684	松本、長伏、御園
msm_skt_04	三島市立社会福祉会館	4	35.118346	138.915188	本町、南本町、中田町
msm_skt_05	三島市役所	5	35.118478	138.918501	中央町、北田町、大宮町１丁目１～３・９～１１、大宮町２丁目１～７・１０・１１、大社町１～６・１６～１８、東本町１丁目１～１２・１６
msm_skt_06	三島市立南中学校	6	35.108789	138.918235	南田町、富田町、新谷、玉川、平田
msm_skt_07	三島市立東小学校	7	35.118022	138.924608	大社町７～１５、東本町１丁目１３～１５、日の出町、東町、谷田（雪沢）、川原ヶ谷、愛宕
msm_skt_08	三島市立図書館	8	35.123305	138.915467	芝本町、一番町、大宮町１丁目４～８、大宮町２丁目８・９・１２～１６、大宮町３丁目、（加茂川町）、加茂川町
msm_skt_09	三島市立北中学校	9	35.130553	138.915145	文教町１丁目、文教町２丁目、壱町田、末広町、東壱町田
msm_skt_10	三島市立沢地小学校	10	35.140546	138.926604	沢地、千枚原、富士ビレッジ、平成台
msm_skt_11	三島市立徳倉小学校	11	35.142213	138.913118	徳倉１丁目、徳倉２丁目、徳倉３丁目、徳倉４丁目、徳倉２００～３９９
msm_skt_12	三島市立北上小学校	12	35.149319	138.913461	徳倉５丁目、萩、徳倉〈一部除く〉
msm_skt_13	三島市立佐野小学校	13	35.168529	138.924136	佐野〈一部除く〉
msm_skt_14	三島市立向山小学校	14	35.104602	138.938438	谷田（夏梅木）〈一部除く〉、中、錦が丘、北沢
msm_skt_15	三島市立錦田公民館	15	35.113829	138.936498	谷田〈一部除く〉、谷田（御門）、谷田（夏梅木）８４４、竹倉、谷田（並木）、柳郷地、谷田（阿部野）
msm_skt_16	玉沢覚林院	16	35.12334	138.961186	玉沢
msm_skt_17	三島市立錦田中学校	17	35.121835	138.938245	谷田１５７７～１７４１、谷田（遺伝学）、谷田（桜ヶ丘）、谷田（塚の台）、川原ヶ谷（塚の台）、松が丘、川原ヶ谷（緑ヶ丘）、塚原新田
msm_skt_18	三島市立山田小学校	18	35.133325	138.9342	川原ヶ谷（初音）、初音台、川原ヶ谷（山田）、川原ヶ谷（小沢）、（旭ヶ丘町）、（西旭ヶ丘町）、旭ヶ丘、三恵台
msm_skt_19	三島市立坂公民館	19	35.138221	138.962132	谷田（台崎）、川原ヶ谷（元山中）、市山新田、三ツ谷新田、笹原新田〈一部除く〉
msm_skt_20	山中公民館	20	35.15544	138.994769	笹原新田４７４５、（山中新田）、山中新田、芦ノ湖高原別荘地
msm_skt_21	三島市立中郷中学校	21	35.093823	138.936034	中島、大場〈一部除く〉、多呂
msm_skt_22	三島市立中郷小学校	22	35.094877	138.927569	梅名、八反畑、安久
msm_skt_23	三島市立保健センター	23	35.110922	138.924716	東本町２丁目、南二日町
msm_skt_24	幸原公民館	24	35.137622	138.912941	幸原町１丁目、幸原町２丁目
msm_skt_25	光ケ丘公民館	25	35.135045	138.926059	（若松町）４３８２・４３９５・４６６７〈青葉台〉、（光ヶ丘）、光ヶ丘（１丁目）、光ヶ丘（２丁目）、光ヶ丘（３丁目）
msm_skt_26	加茂集会所	26	35.132764	138.929329	（若松町）〈一部除く〉、（加茂）、加茂、富士見台
msm_skt_27	小山中島公民館	27	35.117982	138.931861	谷田（小山）、谷田（小山中島）、谷田（小山押切）、谷田（東富士見）、谷田（西富士見）、谷田（小山台）
msm_skt_28	芙蓉台公民館	28	35.155938	138.917581	佐野１２０７〈一部〉、芙蓉台１丁目、芙蓉台２丁目、芙蓉台３丁目
msm_skt_29	青木公民館	29	35.105423	138.921218	鶴喰、青木、藤代町、中（東藤代町）、青木（東藤代町）
msm_skt_30	東大場集会所	30	35.109239	138.951758	大場１０８６・１０８７、東大場１丁目、東大場２丁目
msm_skt_31	見晴台自治会館	31	35.164494	138.943974	佐野１６４７〈一部〉、佐野見晴台１丁目、佐野見晴台２丁目
